Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=132,,,,,,,,,,,,,,,,
duration=4.4,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,0,-4,0,-20,51,-14,-36,-30,36,35,-50,9,-46,17,0
0.033,1,0,-4,0,-22,51,-12,-38,-30,38,35,-50,9,-46,17,0
0.066,2,0,-4,0,-23,52,-10,-40,-30,40,34,-50,9,-45,16,0
0.099,3,0,-4,0,-23,52,-8,-42,-30,42,34,-51,9,-43,15,0
0.132,4,0,-4,0,-24,52,-6,-44,-30,44,33,-51,8,-42,14,0
0.165,5,0,-4,0,-25,52,-4,-46,-28,46,33,-51,8,-39,12,0
0.198,6,0,-4,0,-26,52,-2,-48,-26,48,32,-51,7,-37,10,0
0.231,7,0,-4,0,-27,52,0,-50,-24,50,32,-52,7,-34,8,0
0.264,8,0,-5,0,-28,51,2,-52,-22,52,31,-52,6,-30,6,0
0.297,9,0,-5,0,-28,51,4,-54,-20,54,31,-52,6,-27,4,0
0.33,10,0,-5,0,-29,51,6,-56,-18,56,30,-52,5,-23,1,0
0.363,11,0,-5,0,-30,50,8,-58,-16,58,30,-52,4,-19,0,0
0.396,12,0,-5,0,-30,50,10,-60,-14,60,30,-52,3,-14,-2,0
0.429,13,0,-5,0,-30,49,12,-62,-12,62,29,-52,3,-10,-4,0
0.462,14,0,-5,0,-30,48,14,-64,-10,64,29,-52,2,-6,-6,0
0.495,15,0,-5,0,-30,47,16,-66,-8,66,28,-52,1,-1,-8,0
0.528,16,0,-4,0,-30,46,18,-68,-6,68,28,-52,0,2,-10,0
0.561,17,0,-3,0,-30,46,20,-70,-4,70,27,-52,0,7,-11,0
0.594,18,0,-2,0,-30,44,22,-72,-4,72,27,-52,0,11,-12,0
0.627,19,0,-1,0,-30,43,24,-74,-3,74,26,-52,-1,15,-13,0
0.66,20,0,-1,0,-30,42,26,-76,-2,76,25,-51,-1,19,-13,0
0.693,21,0,-1,0,-30,41,28,-78,-1,75,25,-51,-2,23,-13,0
0.726,22,0,-1,0,-30,39,30,-80,0,73,24,-50,-3,27,-12,0
0.759,23,0,-1,0,-30,37,32,-78,1,71,23,-49,-3,30,-11,0
0.792,24,0,-1,0,-30,35,34,-76,3,69,22,-48,-4,33,-10,0
0.825,25,0,-1,0,-30,33,36,-74,4,67,21,-47,-5,36,-9,0
0.858,26,0,-1,0,-30,31,38,-72,6,65,20,-46,-5,38,-7,0
0.891,27,0,-1,0,-30,29,40,-70,7,63,19,-45,-6,40,-5,0
0.924,28,0,-1,0,-30,27,42,-68,7,61,18,-43,-7,41,-3,0
0.957,29,0,-2,0,-30,25,41,-66,6,59,17,-41,-8,42,-1,0
0.99,30,0,-2,0,-30,23,39,-64,4,57,16,-39,-8,43,0,0
1.023,31,0,-2,0,-30,25,39,-62,2,55,15,-38,-9,42,2,0
1.056,32,0,-2,0,-30,27,38,-60,0,53,17,-40,-10,41,4,0
1.089,33,0,-2,0,-30,29,36,-58,-2,51,19,-42,-10,40,6,0
1.122,34,0,-2,0,-30,31,35,-56,-4,49,21,-44,-11,38,7,0
1.155,35,0,-2,0,-30,33,34,-54,-6,50,23,-46,-11,36,9,0
1.188,36,0,-3,0,-29,35,32,-52,-8,51,25,-48,-12,33,11,0
1.221,37,0,-3,0,-27,37,31,-50,-10,52,27,-50,-12,30,12,0
1.254,38,0,-3,0,-25,39,29,-48,-12,53,29,-52,-12,26,13,0
1.287,39,0,-3,0,-23,41,27,-46,-14,53,31,-54,-13,23,13,0
1.32,40,0,-3,0,-21,43,25,-44,-16,53,33,-56,-13,19,13,0
1.353,41,0,-3,0,-19,45,24,-42,-18,53,35,-58,-13,15,13,0
1.386,42,0,-3,0,-17,47,22,-40,-20,53,37,-60,-12,10,13,0
1.419,43,0,-4,0,-15,49,20,-38,-22,53,39,-62,-11,6,12,0
1.452,44,0,-4,0,-13,51,19,-36,-24,53,41,-64,-11,1,11,0
1.485,45,0,-4,0,-11,53,17,-36,-26,53,41,-66,-10,-2,10,0
1.518,46,0,-4,0,-9,55,16,-36,-28,53,42,-68,-9,-7,8,0
1.551,47,0,-4,0,-7,57,15,-37,-30,52,43,-70,-7,-12,7,0
1.584,48,0,-4,0,-5,59,13,-38,-30,52,45,-72,-6,-16,5,0
1.617,49,0,-4,0,-3,61,12,-38,-30,52,45,-74,-5,-20,3,0
1.65,50,0,-4,0,-1,63,10,-39,-30,52,45,-76,-3,-25,1,0
1.683,51,0,-5,0,1,65,9,-40,-30,52,45,-78,-2,-29,0,0
