Header,,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,,
frames=120,,,,,,,,,,,,,,,,,
duration=4.0,,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,,
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0,0,42.5764,-7.20051,51.5717,-20.9257,-75,-4.08028,0.655261,-37.1332,-9.97862,-36.4166,-14.0306,17.3651,-46.3572,9.64903,0,0
0.0333333,1,44.4529,-9.96142,51.9041,-22.012,-75,-4.2233,0.655261,-47.0327,-5.90965,-42.0643,-11.9648,17.141,-46.0659,9.59277,0,0
0.0666667,2,46.097,-12.5761,52.1516,-23.0203,-75,-4.36137,0.655261,-58.3457,-1.06831,-54.5193,-6.3469,16.4998,-45.2185,9.42981,0,0
0.1,3,47.5224,-15.0528,52.3156,-23.9892,-75,-4.49358,0.655261,-68.8155,3.33968,-66.2085,-0.890977,15.4878,-43.8547,9.16882,0,0
0.133333,4,48.7398,-17.3981,52.3969,-24.8914,-75,-4.61902,0.655261,-77.4272,6.94627,-74.1413,3.67509,14.1513,-42.0143,8.8185,0,0
0.166667,5,49.7565,-19.6168,52.3959,-25.7325,-75,-4.7368,0.655261,-83.4673,9.71597,-79.3746,7.81797,12.5367,-39.7369,8.38754,0,0
0.2,6,50.5787,-21.7036,52.3129,-26.5499,-75,-4.84601,0.655261,-87.9544,12.1698,-84.3621,11.9466,10.6904,-37.0623,7.88465,0,0
0.233333,7,51.2112,-23.6908,52.1477,-27.306,-75,-4.94575,0.655261,-92.3182,14.785,-89.0611,16.0664,8.6586,-34.0302,7.31849,0,0
0.266667,8,51.6579,-25.543,51.9004,-28.0475,-75,-5.03512,0.655261,-96.4688,17.5436,-93.4302,20.1061,6.48778,-30.6803,6.69778,0,0
0.3,9,51.922,-27.3012,51.5712,-28.7481,-75,-5.11322,0.655261,-100.325,20.353,-97.4274,24.0892,4.22425,-27.0524,6.03121,0,0
0.333333,10,52.0065,-28.9391,51.16,-29.4222,-75,-5.17914,0.655261,-103.807,23.163,-101.011,27.9517,1.91437,-23.1861,5.32746,0,0
0.366667,11,51.9139,-30.4596,50.6672,-30.0643,-75,-5.23198,0.655261,-106.838,25.9558,-104.136,31.6611,-0.395506,-19.1212,4.59522,0,0
0.4,12,51.6462,-31.8924,50.093,-30.7069,-75,-5.27085,0.655261,-109.339,28.6653,-106.758,35.2277,-2.65903,-14.8975,3.8432,0,0
0.433333,13,51.2056,-33.2029,49.4378,-31.3242,-75,-5.29483,0.655261,-111.233,31.2491,-108.829,38.5667,-4.82986,-10.5545,3.08008,0,0
0.466667,14,50.5935,-34.4201,48.7016,-31.9282,-75,-5.30302,0.655261,-112.436,33.6038,-110.302,41.6467,-6.86162,-6.13218,2.31455,0,0
0.5,15,49.8112,-35.5452,47.8847,-32.5212,-75,-5.01954,0.655261,-112.815,36.0399,-111.129,44.416,-8.70798,-1.67009,1.55531,0,0
0.533333,16,48.8593,-36.5534,46.9868,-33.096,-75,-4.31484,0.655261,-112.298,38.8174,-111.024,47.0665,-10.3226,2.792,0.811049,0,0
0.566667,17,47.7377,-37.4711,46.0075,-33.6785,-75,-3.39874,0.655261,-110.891,41.6222,-109.76,49.6687,-11.6591,7.21437,0.0904612,0,0
0.6,18,46.4455,-38.2977,44.9458,-34.2434,-75,-2.48264,0.655261,-108.604,44.2169,-107.368,51.9926,-12.6711,11.5573,-0.597762,0,0
0.633333,19,44.9805,-39.0162,43.8001,-34.7907,-75,-1.77794,0.655261,-105.476,46.3936,-103.898,53.834,-13.3123,15.7811,-1.24493,0,0
0.666667,20,43.3386,-39.6328,42.5683,-35.3417,-75,-1.49606,0.655261,-101.576,48.0102,-99.4212,55.1204,-13.5363,19.8459,-1.84235,0,0
0.7,21,41.5141,-40.1375,41.2182,-35.848,-75,-1.50426,0.655261,-97.0101,48.9961,-94.0295,55.7214,-13.3375,23.7122,-2.43834,0,0
0.733333,22,39.4973,-40.5391,39.699,-36.2846,-75,-1.52823,0.655261,-91.9174,49.3381,-87.8551,55.6268,-12.7686,27.3401,-3.08142,0,0
0.766667,23,37.2751,-40.829,37.9761,-36.6301,-75,-1.56709,0.655261,-86.4735,49.0705,-81.059,54.8552,-11.8707,30.69,-3.76319,0,0
0.8,24,34.8276,-40.9833,36.0082,-36.8846,-75,-1.61992,0.655261,-80.8941,48.2638,-73.8203,53.4401,-10.6848,33.7221,-4.47526,0,0
0.833333,25,32.1253,-40.9923,33.745,-37,-75,-1.68583,0.655261,-75.45,47.0114,-66.357,51.4388,-9.25219,36.3967,-5.20923,0,0
0.866667,26,29.1235,-40.8265,31.1182,-36.9657,-75,-1.76392,0.655261,-70.4792,45.5037,-58.9606,48.9516,-7.61393,38.6741,-5.95671,0,0
0.9,27,25.7505,-40.4616,28.0306,-36.7163,-75,-1.85328,0.655261,-66.3952,43.8737,-52.0566,46.1609,-5.81117,40.5145,-6.70929,0,0
0.933333,28,21.8813,-39.8167,24.3265,-36.1738,-75,-1.95301,0.655261,-63.6672,42.3882,-46.2943,43.3823,-3.88502,41.8783,-7.45858,0,0
0.966667,29,17.2685,-38.7634,19.7138,-35.1939,-75,-2.06221,0.655261,-62.7372,41.1939,-42.591,41.0928,-1.87661,42.7257,-8.19617,0,0
1,30,25.0118,-42.4252,13.4756,-33.3933,-75,-2.17997,0.655261,-62.7684,40.1325,-41.8917,39.7923,0.17292,43.017,-8.91369,0,0
1.03333,31,42.9626,-48.4423,21.0903,-37.0337,-75,-2.30541,0.655261,-62.6971,39.0099,-42.709,39.0002,2.22245,42.7173,-9.60272,0,0
1.06667,32,60.5565,-52.1922,39.8812,-43.1256,-75,-2.4376,0.655261,-62.5294,37.7934,-43.1808,38.0354,4.23086,41.8454,-10.2549,0,0
1.1,33,75.564,-53.4251,58.0185,-46.1465,-75,-2.57566,0.655261,-62.2685,36.5001,-43.3337,36.9365,6.15701,40.4422,-10.8618,0,0
1.13333,34,87.1016,-52.582,73.4376,-45.6796,-75,-2.71868,0.655261,-61.9188,35.1351,-43.1963,35.6855,7.95977,38.5486,-11.415,0,0
1.16667,35,94.7603,-50.57,85.2306,-41.8328,-75,-2.86576,0.655261,-61.485,33.704,-42.7964,34.3021,9.59803,36.2054,-11.9061,0,0
1.2,36,100.306,-47.7811,93.0254,-35.1785,-75,-3.01599,0.655261,-60.971,32.2127,-42.1653,32.7976,11.0306,33.4535,-12.3268,0,0
1.23333,37,105.162,-43.4276,97.2722,-27.6019,-75,-3.16848,0.655261,-60.3816,30.6677,-41.3378,31.1847,12.2165,30.3338,-12.6686,0,0
1.26667,38,108.826,-37.3323,99.4197,-19.0552,-75,-3.32232,0.655261,-59.7218,29.0763,-40.3545,29.4799,13.1145,26.8871,-12.9231,0,0
1.3,39,110.994,-29.693,99.6353,-7.7919,-75,-3.47662,0.655261,-58.9966,27.4462,-39.261,27.7015,13.6834,23.1543,-13.082,0,0
1.33333,40,111.632,-21.1829,97.59,4.94338,-75,-3.63046,0.655261,-58.2117,25.785,-38.1111,25.8724,13.8822,19.1763,-13.1368,0,0
1.36667,41,110.995,-12.8797,93.7132,17.3351,-75,-3.78296,0.655261,-57.3726,24.0899,-37.0966,24.0565,13.706,14.994,-12.9979,0,0
1.4,42,109.559,-5.76681,89.0326,27.7609,-75,-3.93319,0.655261,-56.4857,22.4039,-36.4001,22.3523,13.2019,10.6482,-12.6005,0,0
1.43333,43,107.898,-0.738188,84.8941,35.1207,-75,-4.08028,0.655261,-55.5573,20.7022,-36.0409,20.739,12.4063,6.17972,-11.9732,0,0
1.46667,44,106.543,1.65541,82.8294,38.6566,-75,-4.2233,0.655261,-54.5952,19.0063,-36.006,19.2226,11.3556,1.62956,-11.1448,0,0
1.5,45,105.031,2.12524,84.203,37.6854,-75,-4.36137,0.655261,-53.6064,17.3258,-36.256,17.7876,10.0862,-2.96148,-10.144,0,0
1.53333,46,102.687,1.87514,86.9991,33.8099,-75,-4.49358,0.655261,-52.6003,15.6725,-36.7299,16.4,8.6346,-7.55252,-8.99949,0,0
1.56667,47,99.5569,1.20014,88.6319,29.2236,-75,-4.61902,0.655261,-51.5866,14.0573,-37.3575,15.0591,7.03725,-12.1027,-7.7401,0,0
1.6,48,95.6599,0.350384,89.1087,24.1248,-75,-4.7368,0.655261,-50.5753,12.4925,-38.0679,13.7088,5.33057,-16.5711,-6.39451,0,0
1.63333,49,91.0076,-0.35823,88.3995,18.8166,-75,-4.84601,0.655261,-49.5774,10.99,-38.792,12.3307,3.55101,-20.9169,-4.99146,0,0
1.66667,50,85.6222,-0.707056,86.4836,13.6557,-75,-4.94575,0.655261,-48.6053,9.56309,-39.4691,10.9013,1.73502,-25.0993,-3.55968,0,0
1.7,51,79.5449,-0.5791,83.3798,8.99972,-75,-5.03512,0.655261,-47.6726,8.21681,-40.0463,9.39961,-0.0809835,-29.0773,-2.12791,0,0
1.73333,52,72.8392,0.16125,79.1613,5.0803,-75,-5.11322,0.655261,-46.7937,6.99219,-40.479,7.80856,-1.86054,-32.81,-0.724859,0,0
1.76667,53,65.5983,1.54523,73.9587,2.09982,-75,-5.17914,0.655261,-45.9828,5.86777,-40.7289,6.11276,-3.56722,-36.2567,0.620726,0,0
1.8,54,57.9542,3.5265,67.9615,0.0896314,-75,-5.23198,0.655261,-45.2565,4.89373,-40.7625,4.29835,-5.16457,-39.3764,1.88012,0,0
1.83333,55,50.1053,6.02135,61.4285,-1.01754,-75,-5.27085,0.655261,-44.6299,4.05044,-40.5483,2.3517,-6.61615,-42.1283,3.02458,0,0
1.86667,56,42.3777,8.87893,54.7192,-1.39994,-75,-5.29483,0.655261,-44.1192,3.38616,-40.0515,0.256832,-7.88553,-44.4715,4.02539,0,0
1.9,57,35.3452,11.748,48.3583,-1.36569,-75,-5.30141,0.655261,-43.739,2.89032,-39.2317,-2.01005,-8.93626,-46.3652,4.85381,0,0
1.93333,58,30.0272,14.0607,43.1306,-1.38335,-75,-5.01954,0.655261,-43.5029,2.58427,-38.0297,-4.46372,-9.73189,-47.7684,5.48111,0,0
1.96667,59,27.925,15.0085,40.1188,-2.12921,-75,-4.31484,0.655261,-43.4218,2.47972,-36.3578,-7.14899,-10.236,-48.6403,5.87856,0,0
2,60,51.5717,-20.9257,40.4488,-4.28235,-75,-3.39874,0.655261,-36.4166,-14.0306,-34.0667,-10.1318,-10.4121,-48.94,6.01743,0,0
2.03333,61,51.9041,-22.012,42.5764,-7.20051,-75,-2.48264,0.655261,-42.0643,-11.9648,-37.1332,-9.97862,-10.2108,-46.0659,5.97359,0,0
2.06667,62,52.1516,-23.0203,44.4529,-9.96142,-75,-1.77794,0.655261,-54.5193,-6.3469,-47.0327,-5.90965,-9.63448,-45.2185,5.84606,0,0
2.1,63,52.3156,-23.9892,46.097,-12.5761,-75,-1.49606,0.655261,-66.2085,-0.890977,-58.3457,-1.06831,-8.72491,-43.8547,5.64082,0,0
2.13333,64,52.3969,-24.8914,47.5224,-15.0528,-75,-1.50426,0.655261,-74.1413,3.67509,-68.8155,3.33968,-7.52372,-42.0143,5.36384,0,0
2.16667,65,52.3959,-25.7325,48.7398,-17.3981,-75,-1.52823,0.655261,-79.3746,7.81797,-77.4272,6.94627,-6.07257,-39.7369,5.0211,0,0
2.2,66,52.3129,-26.5499,49.7565,-19.6168,-75,-1.56709,0.655261,-84.3621,11.9466,-83.4673,9.71597,-4.41312,-37.0623,4.61858,0,0
2.23333,67,52.1477,-27.306,50.5787,-21.7036,-75,-1.61992,0.655261,-89.0611,16.0664,-87.9544,12.1698,-2.58704,-34.0302,4.16226,0,0
2.26667,68,51.9004,-28.0475,51.2112,-23.6908,-75,-1.68583,0.655261,-93.4302,20.1061,-92.3182,14.785,-0.63597,-30.6803,3.65812,0,0
2.3,69,51.5712,-28.7481,51.6579,-25.543,-75,-1.76392,0.655261,-97.4274,24.0892,-96.4688,17.5436,1.39841,-27.0524,3.11213,0,0
2.33333,70,51.16,-29.4222,51.922,-27.3012,-75,-1.85328,0.655261,-101.011,27.9517,-100.325,20.353,3.47446,-23.1861,2.53027,0,0
2.36667,71,50.6672,-30.0643,52.0065,-28.9391,-75,-1.95301,0.655261,-104.136,31.6611,-103.807,23.163,5.55051,-19.1212,1.91852,0,0
2.4,72,50.093,-30.7069,51.9139,-30.4596,-75,-2.06221,0.655261,-106.758,35.2277,-106.838,25.9558,7.58489,-14.8975,1.28286,0,0
2.43333,73,49.4378,-31.3242,51.6462,-31.8924,-75,-2.17997,0.655261,-108.829,38.5667,-109.339,28.6653,9.53596,-10.5545,0.629272,0,0
2.46667,74,48.7016,-31.9282,51.2056,-33.2029,-75,-2.30541,0.655261,-110.302,41.6467,-111.233,31.2491,11.362,-6.13218,-0.0362774,0,0
2.5,75,47.8847,-32.5212,50.5935,-34.4201,-75,-2.4376,0.655261,-111.129,44.416,-112.436,33.6038,13.0215,-1.67009,-0.707804,0,0
2.53333,76,46.9868,-33.096,49.8112,-35.5452,-75,-2.57566,0.655261,-111.024,47.0665,-112.815,36.0399,14.4726,2.792,-1.37933,0,0
2.56667,77,46.0075,-33.6785,48.8593,-36.5534,-75,-2.71868,0.655261,-109.76,49.6687,-112.298,38.8174,15.6738,7.21437,-2.04488,0,0
2.6,78,44.9458,-34.2434,47.7377,-37.4711,-75,-2.86576,0.655261,-107.368,51.9926,-110.891,41.6222,16.5834,11.5573,-2.69847,0,0
2.63333,79,43.8001,-34.7907,46.4455,-38.2977,-75,-3.01599,0.655261,-103.898,53.834,-108.604,44.2169,17.1597,15.7811,-3.33413,0,0
2.66667,80,42.5683,-35.3417,44.9805,-39.0162,-75,-3.16848,0.655261,-99.4212,55.1204,-105.476,46.3936,17.361,19.8459,-3.94588,0,0
2.7,81,41.2182,-35.848,43.3386,-39.6328,-75,-3.32232,0.655261,-94.0295,55.7214,-101.576,48.0102,17.3221,23.7122,-4.52774,0,0
2.73333,82,39.699,-36.2846,41.5141,-40.1375,-75,-3.47662,0.655261,-87.8551,55.6268,-97.0101,48.9961,17.2091,27.3401,-5.07373,0,0
2.76667,83,37.9761,-36.6301,39.4973,-40.5391,-75,-3.63046,0.655261,-81.059,54.8552,-91.9174,49.3381,17.0278,30.69,-5.57787,0,0
2.8,84,36.0082,-36.8846,37.2751,-40.829,-75,-3.78296,0.655261,-73.8203,53.4401,-86.4735,49.0705,16.7842,33.7221,-6.03419,0,0
2.83333,85,33.745,-37,34.8276,-40.9833,-75,-3.93319,0.655261,-66.357,51.4388,-80.8941,48.2638,16.4839,36.3967,-6.43671,0,0
2.86667,86,31.1182,-36.9657,32.1253,-40.9923,-75,-4.08028,0.655261,-58.9606,48.9516,-75.45,47.0114,16.1329,38.6741,-6.77945,0,0
2.9,87,28.0306,-36.7163,29.1235,-40.8265,-75,-4.2233,0.655261,-52.0566,46.1609,-70.4792,45.5037,15.7369,40.5145,-7.05643,0,0
2.93333,88,24.3265,-36.1738,25.7505,-40.4616,-75,-4.36137,0.655261,-46.2943,43.3823,-66.3952,43.8737,15.3018,41.8783,-7.26167,0,0
2.96667,89,19.7138,-35.1939,21.8813,-39.8167,-75,-4.49358,0.655261,-42.591,41.0928,-63.6672,42.3882,14.8333,42.7257,-7.3892,0,0
3,90,13.4756,-33.3933,17.2685,-38.7634,-75,-4.61902,0.655261,-41.8917,39.7923,-62.7372,41.1939,14.3373,43.017,-7.43304,0,0
3.03333,91,21.0903,-37.0337,25.0118,-42.4252,-75,-4.7368,0.655261,-42.709,39.0002,-62.7684,40.1325,13.8196,42.7173,-7.4093,0,0
3.06667,92,39.8812,-43.1256,42.9626,-48.4423,-75,-4.84601,0.655261,-43.1808,38.0354,-62.6971,39.0099,13.286,41.8454,-7.34024,0,0
3.1,93,58.0185,-46.1465,60.5565,-52.1922,-75,-4.94575,0.655261,-43.3337,36.9365,-62.5294,37.7934,12.7423,40.4422,-7.22911,0,0
3.13333,94,73.4376,-45.6796,75.564,-53.4251,-75,-5.03512,0.655261,-43.1963,35.6855,-62.2685,36.5001,12.1944,38.5486,-7.07913,0,0
3.16667,95,85.2306,-41.8328,87.1016,-52.582,-75,-5.11322,0.655261,-42.7964,34.3021,-61.9188,35.1351,11.6481,36.2054,-6.89354,0,0
3.2,96,93.0254,-35.1785,94.7603,-50.57,-75,-5.17914,0.655261,-42.1653,32.7976,-61.485,33.704,11.1091,33.4535,-6.67558,0,0
3.23333,97,97.2722,-27.6019,100.306,-47.7811,-75,-5.23198,0.655261,-41.3378,31.1847,-60.971,32.2127,10.5834,30.3338,-6.42849,0,0
3.26667,98,99.4197,-19.0552,105.162,-43.4276,-75,-5.27085,0.655261,-40.3545,29.4799,-60.3816,30.6677,10.0766,26.8871,-6.1555,0,0
3.3,99,99.6353,-7.7919,108.826,-37.3323,-75,-5.29483,0.655261,-39.261,27.7015,-59.7218,29.0763,9.59467,23.1543,-5.85985,0,0
3.33333,100,97.59,4.94338,110.994,-29.693,-75,-5.30141,0.655261,-38.1111,25.8724,-58.9966,27.4462,9.14339,19.1763,-5.54478,0,0
3.36667,101,93.7132,17.3351,111.632,-21.1829,-75,-5.01954,0.655261,-37.0966,24.0565,-58.2117,25.785,8.68539,14.994,-5.21353,0,0
3.4,102,89.0326,27.7609,110.995,-12.8797,-75,-4.31484,0.655261,-36.4001,22.3523,-57.3726,24.0899,8.18425,10.6482,-4.86933,0,0
3.43333,103,84.8941,35.1207,109.559,-5.76681,-75,-3.39874,0.655261,-36.0409,20.739,-56.4857,22.4039,7.64718,6.17972,-4.51542,0,0
3.46667,104,82.8294,38.6566,107.898,-0.738188,-75,-2.48264,0.655261,-36.006,19.2226,-55.5573,20.7022,7.08137,1.62956,-4.15503,0,0
3.5,105,84.203,37.6854,106.543,1.65541,-75,-1.77794,0.655261,-36.256,17.7876,-54.5952,19.0063,6.49404,-2.96148,-3.79141,0,0
3.53333,106,86.9991,33.8099,105.031,2.12524,-75,-1.49606,0.655261,-36.7299,16.4,-53.6064,17.3258,5.89238,-7.55252,-3.42778,0,0
3.56667,107,88.6319,29.2236,102.687,1.87514,-75,-1.50426,0.655261,-37.3575,15.0591,-52.6003,15.6725,5.28361,-12.1027,-3.06739,0,0
3.6,108,89.1087,24.1248,99.5569,1.20014,-75,-1.52823,0.655261,-38.0679,13.7088,-51.5866,14.0573,4.67492,-16.5711,-2.71348,0,0
3.63333,109,88.3995,18.8166,95.6599,0.350384,-75,-1.56709,0.655261,-38.792,12.3307,-50.5753,12.4925,4.07353,-20.9169,-2.36928,0,0
3.66667,110,86.4836,13.6557,91.0076,-0.35823,-75,-1.61992,0.655261,-39.4691,10.9013,-49.5774,10.99,3.48664,-25.0993,-2.03803,0,0
3.7,111,83.3798,8.99972,85.6222,-0.707056,-75,-1.68583,0.655261,-40.0463,9.39961,-48.6053,9.56309,2.92144,-29.0773,-1.72296,0,0
3.73333,112,79.1613,5.0803,79.5449,-0.5791,-75,-1.76392,0.655261,-40.479,7.80856,-47.6726,8.21681,2.38515,-32.81,-1.42731,0,0
3.76667,113,73.9587,2.09982,72.8392,0.16125,-75,-1.85328,0.655261,-40.7289,6.11276,-46.7937,6.99219,1.88497,-36.2567,-1.15432,0,0
3.8,114,67.9615,0.0896314,65.5983,1.54523,-75,-1.95301,0.655261,-40.7625,4.29835,-45.9828,5.86777,1.42811,-39.3764,-0.907232,0,0
3.83333,115,61.4285,-1.01754,57.9542,3.5265,-75,-2.06221,0.655261,-40.5483,2.3517,-45.2565,4.89373,1.02177,-42.1283,-0.689274,0,0
3.86667,116,54.7192,-1.39994,50.1053,6.02135,-75,-2.17997,0.655261,-40.0515,0.256832,-44.6299,4.05044,0.673148,-44.4715,-0.503685,0,0
3.9,117,48.3583,-1.36569,42.3777,8.87893,-75,-2.30541,0.655261,-39.2317,-2.01005,-44.1192,3.38616,0.389459,-46.3652,-0.353704,0,0
3.93333,118,43.1306,-1.38335,35.3452,11.748,-75,-2.4376,0.655261,-38.0297,-4.46372,-43.739,2.89032,0.177903,-47.7684,-0.242567,0,0
3.96667,119,40.1188,-2.12921,30.0272,14.0607,-75,-2.57566,0.655261,-36.3578,-7.14899,-43.5029,2.58427,0.0456869,-48.6403,-0.17351,0,0
4,120,40.4488,-4.28235,27.925,15.0085,-75,-2.71868,0.655261,-34.0667,-10.1318,-43.4218,2.47972,1.37E-05,-46.3572,-0.149772,0,0
