Header,,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,,
frames=40,,,,,,,,,,,,,,,,,
duration=1.33333,,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,,
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0,0,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.0333333,1,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.0666667,2,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.1,3,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.133333,4,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.166667,5,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.2,6,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.233333,7,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.266667,8,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.3,9,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.333333,10,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.366667,11,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.4,12,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.433333,13,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.466667,14,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.5,15,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.533333,16,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.566667,17,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.6,18,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.633333,19,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.666667,20,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.7,21,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,curious_1,0
0.733333,22,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.766667,23,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.8,24,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.833333,25,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.866667,26,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.9,27,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.933333,28,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
0.966667,29,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
1,30,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
1.03333,31,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
1.06667,32,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
1.1,33,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
1.13333,34,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
1.16667,35,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
1.2,36,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
1.23333,37,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
1.26667,38,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
1.3,39,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
1.33333,40,-3.47886,-1.71302,-3.45405,-1.33647,-30,65,0.655261,-30.8428,14.4883,-29.0275,14.5317,1.37E-05,-2.73E-05,-0.149772,0,0
