Header
rate=30
frames=82
duration=2.7
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,0,-20,55,-30,60,0,0,13,40,-29,-30,-15,-65,0,0
0.033,1,0,-20,55,-30,61,0,0,9,45,-26,-36,-15,-64,0,0
0.066,2,0,-20,55,-30,71,0,0,1,51,-15,-58,-15,-64,0,0
0.099,3,0,-20,55,-30,71,0,0,1,51,-15,-58,-15,-64,0,0
0.132,4,0,-20,55,-30,78,0,0,-1,53,-10,-69,-15,-63,0,0
0.165,5,0,-20,55,-30,90,0,0,-7,56,-2,-84,-15,-62,0,0
0.198,6,0,-20,55,-30,90,0,0,-7,56,-2,-84,-15,-62,0,0
0.231,7,0,-20,55,-30,90,0,0,-10,57,0,-89,-15,-61,0,0
0.264,8,0,-20,55,-30,90,0,0,-15,58,7,-90,-15,-59,0,0
0.297,9,0,-20,55,-30,90,0,0,-15,58,7,-90,-15,-59,0,0
0.33,10,0,-20,55,-15,90,0,0,-19,58,15,-90,-15,-57,0,0
0.363,11,0,-20,55,-15,90,0,0,-19,58,15,-90,-15,-57,0,0
0.396,12,0,-21,55,4,90,0,0,-22,57,22,-90,-15,-54,0,0
0.429,13,0,-21,55,4,90,0,0,-22,57,22,-90,-15,-54,0,0
0.462,14,0,-21,55,19,90,0,0,-25,55,30,-90,-15,-52,0,0
0.495,15,0,-21,55,19,90,0,0,-25,55,30,-90,-15,-52,0,0
0.528,16,0,-21,55,27,90,0,0,-28,53,36,-90,-15,-48,0,0
0.561,17,0,-21,55,27,90,0,0,-28,53,36,-90,-15,-48,0,0
0.594,18,0,-21,55,28,83,0,0,-30,51,42,-90,-15,-45,0,0
0.627,19,0,-22,55,26,62,0,0,-30,49,45,-90,-15,-42,0,0
0.66,20,0,-22,55,19,46,0,0,-30,46,45,-90,-15,-37,0,0
0.693,21,0,-23,55,5,31,0,0,-30,40,45,-90,-15,-27,0,0
0.726,22,0,-23,55,5,31,0,0,-30,40,45,-90,-15,-27,0,0
0.759,23,0,-23,55,-1,17,0,0,-30,36,45,-72,-15,-24,0,0
0.792,24,0,-23,55,-1,17,0,0,-30,36,45,-72,-15,-24,0,0
0.825,25,0,-23,55,-1,17,0,0,-30,36,45,-72,-15,-24,0,0
0.858,26,0,-24,55,-11,33,0,0,-30,29,45,-40,-15,-18,0,0
0.891,27,0,-24,55,-11,33,0,0,-30,29,45,-40,-15,-18,0,0
0.924,28,0,-24,55,-12,40,0,0,-30,27,45,-38,-15,-17,0,0
0.957,29,0,-24,55,-12,40,0,0,-30,27,45,-38,-15,-17,0,0
0.99,30,0,-24,55,-17,51,0,0,-30,21,45,-46,-15,-15,0,0
1.023,31,0,-24,55,-17,51,0,0,-30,21,45,-46,-15,-15,0,0
1.056,32,0,-24,55,-17,52,0,0,-30,21,45,-46,-15,-15,0,0
1.089,33,0,-25,55,-19,47,0,0,-30,20,45,-50,-15,-15,0,0
1.122,34,0,-25,55,-19,51,0,0,-30,20,45,-50,-15,-15,0,0
1.155,35,0,-25,55,-20,54,0,0,-30,26,45,-52,-15,-15,0,0
1.188,36,0,-24,55,-23,65,0,0,-30,78,45,-55,-15,-16,0,0
1.221,37,0,-24,55,-23,65,0,0,-30,78,45,-55,-15,-16,0,0
1.254,38,0,-24,55,-24,65,0,0,-30,88,45,-55,-15,-17,0,0
1.287,39,0,-24,55,-25,61,0,0,-30,90,45,-54,-15,-20,0,0
1.32,40,0,-24,55,-25,61,0,0,-30,90,45,-54,-15,-20,0,0
1.353,41,0,-24,55,-25,59,0,0,-11,90,45,-52,-15,-22,0,0
1.386,42,0,-24,55,-25,59,0,0,-11,90,45,-52,-15,-22,0,0
1.419,43,0,-23,55,-25,56,0,0,3,90,41,-50,-15,-25,0,0
1.452,44,0,-23,55,-25,56,0,0,3,90,41,-50,-15,-25,0,0
1.485,45,0,-23,55,-25,50,0,0,21,88,31,-42,-15,-31,0,0
1.518,46,0,-23,55,-25,50,0,0,21,88,31,-42,-15,-31,0,0
1.551,47,0,-23,55,-26,47,0,0,26,84,26,-38,-15,-34,0,0
1.584,48,0,-23,55,-26,47,0,0,26,84,26,-38,-15,-34,0,0
1.617,49,0,-22,55,-27,44,0,0,29,82,13,-30,-15,-40,0,0
1.65,50,0,-22,55,-27,44,0,0,29,82,13,-30,-15,-40,0,0
1.683,51,0,-22,55,-27,44,0,0,29,82,13,-30,-15,-40,0,0
1.716,52,0,-21,55,-30,45,0,0,27,80,1,-27,-15,-47,0,0
1.749,53,0,-21,55,-30,45,0,0,27,80,1,-27,-15,-47,0,0
1.782,54,0,-21,55,-30,46,0,0,25,78,-1,-27,-15,-49,0,0
1.815,55,0,-21,55,-30,49,0,0,21,74,-7,-28,-15,-53,0,0
1.848,56,0,-21,55,-30,49,0,0,21,74,-7,-28,-15,-53,0,0
1.881,57,0,-21,55,-30,50,0,0,20,70,-10,-28,-15,-54,0,0
1.914,58,0,-21,55,-30,52,0,0,18,66,-13,-28,-15,-56,0,0
1.947,59,0,-21,55,-30,53,0,0,17,62,-17,-29,-15,-58,0,0
1.98,60,0,-21,55,-30,55,0,0,15,58,-20,-29,-15,-60,0,0
2.013,61,0,-20,55,-30,57,0,0,13,53,-24,-30,-15,-62,0,0
2.046,62,0,-20,55,-30,57,0,0,13,53,-24,-30,-15,-62,0,0
2.079,63,0,-20,55,-30,58,0,0,13,50,-25,-30,-15,-62,0,0
2.112,64,0,-20,55,-30,60,0,0,13,42,-28,-30,-15,-64,0,0
2.145,65,0,-20,55,-30,60,0,0,13,42,-28,-30,-15,-64,0,0
2.178,66,0,-20,55,-30,60,0,0,13,40,-29,-30,-15,-65,0,0
2.211,67,0,-20,55,-30,60,0,0,13,40,-29,-30,-15,-65,0,0
2.244,68,0,-20,55,-30,61,0,0,9,45,-26,-36,-15,-64,0,0
2.277,69,0,-20,55,-30,71,0,0,1,51,-15,-58,-15,-64,0,0
2.31,70,0,-20,55,-30,71,0,0,1,51,-15,-58,-15,-64,0,0
2.343,71,0,-20,55,-30,78,0,0,-1,53,-10,-69,-15,-63,0,0
2.376,72,0,-20,55,-30,90,0,0,-7,56,-2,-84,-15,-62,0,0
2.409,73,0,-20,55,-30,90,0,0,-7,56,-2,-84,-15,-62,0,0
2.442,74,0,-20,55,-30,90,0,0,-10,57,0,-89,-15,-61,0,0
2.475,75,0,-20,55,-30,90,0,0,-19,58,15,-90,-15,-57,0,0
2.508,76,0,-20,55,-30,90,0,0,-19,58,15,-90,-15,-57,0,0
2.541,77,0,-21,55,0,90,0,0,-25,55,30,-90,-15,-52,0,0
2.574,78,0,-21,55,0,90,0,0,-25,55,30,-90,-15,-52,0,0
2.607,79,0,-21,55,0,90,0,0,-25,55,30,-90,-15,-52,0,0
2.64,80,0,-21,55,7,90,0,0,-28,53,36,-90,-15,-48,0,0
2.673,81,0,-21,55,7,90,0,0,-28,53,36,-90,-15,-48,0,0
2.706,82,0,-21,55,8,90,0,0,-30,51,42,-90,-15,-45,0,0
