Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=82,,,,,,,,,,,,,,,,
duration=2.7,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,0,-20,55,-30,60,-29,-30,13,40,0,0,-15,-65,0,0
0.033,1,0,-25,55,-30,61,-26,-36,9,45,0,0,-15,-64,0,0
0.066,2,0,-25,55,-30,71,-15,-58,1,51,0,0,-15,-64,0,0
0.099,3,0,-25,55,-30,71,-15,-58,1,51,0,0,-15,-64,0,0
0.132,4,0,-25,55,-30,78,-10,-69,-1,53,0,0,-15,-63,0,0
0.165,5,0,-25,55,-30,90,-2,-84,-7,56,0,0,-15,-62,0,0
0.198,6,0,-25,55,-30,90,-2,-84,-7,56,0,0,-15,-62,0,0
0.231,7,0,-25,55,-30,90,0,-89,-10,57,0,0,-15,-61,0,0
0.264,8,0,-25,55,-30,90,7,-90,-15,58,0,0,-15,-59,0,0
0.297,9,0,-25,55,-30,90,7,-90,-15,58,0,0,-15,-59,0,0
0.33,10,0,-25,55,-15,90,15,-90,-19,58,0,0,-15,-57,0,0
0.363,11,0,-25,55,-15,90,15,-90,-19,58,0,0,-15,-57,0,0
0.396,12,0,-25,55,4,90,22,-90,-22,57,0,0,-15,-54,0,0
0.429,13,0,-25,55,4,90,22,-90,-22,57,0,0,-15,-54,0,0
0.462,14,0,-25,55,19,90,30,-90,-25,55,0,0,-15,-52,0,0
0.495,15,0,-25,55,19,90,30,-90,-25,55,0,0,-15,-52,0,0
0.528,16,0,-25,55,27,90,36,-90,-28,53,0,0,-15,-48,0,0
0.561,17,0,-25,55,27,90,36,-90,-28,53,0,0,-15,-48,0,0
0.594,18,0,-25,55,28,83,42,-90,-30,51,0,0,-15,-45,0,0
0.627,19,0,-25,55,26,62,45,-90,-30,49,0,0,-15,-42,0,0
0.66,20,0,-25,55,19,46,45,-90,-30,46,0,0,-15,-37,0,0
0.693,21,0,-25,55,5,31,45,-90,-30,40,0,0,-15,-27,0,0
0.726,22,0,-25,55,5,31,45,-90,-30,40,0,0,-15,-27,0,0
0.759,23,0,-25,55,-1,17,45,-72,-30,36,0,0,-15,-24,0,0
0.792,24,0,-25,55,-1,17,45,-72,-30,36,0,0,-15,-24,0,0
0.825,25,0,-25,55,-1,17,45,-72,-30,36,0,0,-15,-24,0,0
0.858,26,0,-25,55,-11,33,45,-40,-30,29,0,0,-15,-18,0,0
0.891,27,0,-25,55,-11,33,45,-40,-30,29,0,0,-15,-18,0,0
0.924,28,0,-25,55,-12,40,45,-38,-30,27,0,0,-15,-17,0,0
0.957,29,0,-25,55,-12,40,45,-38,-30,27,0,0,-15,-17,0,0
0.99,30,0,-25,55,-17,51,45,-46,-30,21,0,0,-15,-15,0,0
1.023,31,0,-25,55,-17,52,45,-46,-30,21,0,0,-15,-15,0,0
1.056,32,0,-25,55,-17,52,45,-46,-30,21,0,0,-15,-15,0,0
1.089,33,0,-25,55,-19,47,45,-50,-30,20,0,0,-15,-15,0,0
1.122,34,9,-25,55,-19,51,45,-50,-30,20,0,0,-15,-15,0,0
1.155,35,0,-25,55,-20,54,45,-52,-30,26,0,0,-15,-15,0,0
1.188,36,0,-25,55,-23,65,45,-55,-30,78,0,0,-15,-16,0,0
1.221,37,0,-25,55,-23,65,45,-55,-30,78,0,0,-15,-16,0,0
1.254,38,0,-25,55,-24,65,45,-55,-30,88,0,0,-15,-17,0,0
1.287,39,0,-25,55,-25,61,45,-54,-30,90,0,0,-15,-20,0,0
1.32,40,0,-25,55,-25,61,45,-54,-30,90,0,0,-15,-20,0,0
1.353,41,0,-25,55,-25,59,45,-52,-11,90,0,0,-15,-22,0,0
1.386,42,0,-25,55,-25,59,45,-52,-11,90,0,0,-15,-22,0,0
1.419,43,0,-25,55,-25,56,41,-50,3,90,0,0,-15,-25,0,0
1.452,44,0,-25,55,-25,56,41,-50,3,90,0,0,-15,-25,0,0
1.485,45,0,-25,55,-25,50,31,-42,21,88,0,0,-15,-31,0,0
1.518,46,0,-25,55,-25,50,31,-42,21,88,0,0,-15,-31,0,0
1.551,47,0,-25,55,-26,47,26,-38,26,84,0,0,-15,-34,0,0
1.584,48,0,-25,55,-26,47,26,-38,26,84,0,0,-15,-34,0,0
1.617,49,0,-25,55,-27,44,13,-30,29,82,0,0,-15,-40,0,0
1.65,50,0,-25,55,-27,44,13,-30,29,82,0,0,-15,-40,0,0
1.683,51,0,-25,55,-27,44,13,-30,29,82,0,0,-15,-40,0,0
1.716,52,0,-25,55,-30,45,1,-27,27,80,0,0,-15,-47,0,0
1.749,53,0,-25,55,-30,46,1,-27,25,78,0,0,-15,-49,0,0
1.782,54,0,-25,55,-30,46,-1,-27,25,78,0,0,-15,-49,0,0
1.815,55,0,-25,55,-30,49,-7,-28,21,74,0,0,-15,-53,0,0
1.848,56,0,-25,55,-30,49,-7,-28,21,74,0,0,-15,-53,0,0
1.881,57,0,-25,55,-30,51,-10,-28,19,69,0,0,-15,-55,0,0
1.914,58,0,-25,55,-30,53,-13,-28,17,64,0,0,-15,-57,0,0
1.947,59,0,-25,55,-30,55,-17,-29,15,59,0,0,-15,-59,0,0
1.98,60,0,-25,55,-30,57,-20,-29,13,53,0,0,-15,-62,0,0
2.013,61,0,-25,55,-30,57,-24,-30,13,53,0,0,-15,-62,0,0
2.046,62,0,-25,55,-30,58,-24,-30,13,50,0,0,-15,-62,0,0
2.079,63,0,-25,55,-30,58,-25,-30,13,50,0,0,-15,-62,0,0
2.112,64,0,-25,55,-30,60,-28,-30,13,42,0,0,-15,-64,0,0
2.145,65,0,-25,55,-30,60,-28,-30,13,41,0,0,-15,-64,0,0
2.178,66,0,-25,55,-30,60,-29,-30,13,40,0,0,-15,-65,0,0
2.211,67,0,-25,55,-30,60,-29,-30,13,40,0,0,-15,-65,0,0
2.244,68,0,-25,55,-30,61,-26,-36,9,45,0,0,-15,-64,0,0
2.277,69,0,-25,55,-30,71,-15,-58,1,51,0,0,-15,-64,0,0
2.31,70,0,-25,55,-30,71,-15,-58,1,51,0,0,-15,-64,0,0
2.343,71,0,-25,55,-30,78,-10,-69,-1,53,0,0,-15,-63,0,0
2.376,72,0,-25,55,-30,90,-2,-84,-7,56,0,0,-15,-62,0,0
2.409,73,0,-25,55,-30,90,-2,-84,-7,56,0,0,-15,-62,0,0
2.442,74,0,-25,55,-30,90,0,-89,-10,57,0,0,-15,-61,0,0
2.475,75,0,-25,55,-30,90,15,-90,-19,58,0,0,-15,-57,0,0
2.508,76,0,-25,55,-30,90,15,-90,-19,58,0,0,-15,-57,0,0
2.541,77,0,-25,55,0,90,30,-90,-25,55,0,0,-15,-52,0,0
2.574,78,0,-25,55,0,90,30,-90,-25,55,0,0,-15,-52,0,0
2.607,79,0,-25,55,0,90,30,-90,-25,55,0,0,-15,-52,0,0
