Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=21,,,,,,,,,,,,,,,,
duration=2.0,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.066,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.132,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.165,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.198,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.231,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.264,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.297,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.363,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.396,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.429,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.462,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.495,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.528,16,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.561,17,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.594,18,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.627,19,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.66,20,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0
