Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=121,,,,,,,,,,,,,,,,
duration=4.0,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,0,-4,0,-20,51,-14,-36,-30,36,35,-50,9,-46,17,0
0.033,1,-2,-4,0,-22,51,-11,-42,-30,48,37,-50,9,-46,17,0
0.066,2,-4,-4,0,-23,52,-6,-54,-30,72,39,-50,9,-45,16,0
0.099,3,-6,-4,0,-23,52,0,-66,-30,90,38,-51,9,-43,15,0
0.132,4,-8,-4,0,-24,52,3,-74,-30,90,38,-51,8,-42,14,0
0.165,5,-10,-4,0,-25,52,7,-79,-30,90,40,-51,8,-39,12,0
0.198,6,-12,-4,0,-26,52,11,-84,-21,90,40,-51,7,-37,10,0
0.231,7,-14,-4,0,-27,52,16,-89,-15,90,39,-52,7,-34,8,0
0.264,8,-16,-5,0,-28,51,20,-90,-11,90,37,-52,6,-30,6,0
0.297,9,-16,-5,0,-28,51,24,-90,-8,90,35,-52,6,-27,4,0
0.33,10,-18,-5,0,-29,51,27,-90,-6,90,34,-52,5,-23,1,0
0.363,11,-20,-5,0,-30,50,31,-90,-5,90,34,-52,4,-19,0,0
0.396,12,-22,-5,0,-30,50,35,-90,-5,90,32,-52,3,-14,-2,0
0.429,13,-24,-5,0,-30,49,38,-90,-5,90,30,-52,3,-10,-4,0
0.462,14,-26,-5,0,-30,48,41,-90,-5,90,29,-52,2,-6,-6,0
0.495,15,-28,-5,0,-30,47,44,-90,-5,90,28,-52,1,-1,-8,0
0.528,16,-28,-4,0,-30,46,45,-90,-5,90,27,-52,0,2,-10,0
0.561,17,-29,-3,0,-30,46,45,-90,-4,90,25,-52,0,7,-11,0
0.594,18,-30,-2,0,-30,44,45,-90,-4,90,23,-52,0,11,-12,0
0.627,19,-31,-1,0,-30,43,45,-90,-3,87,21,-52,-1,15,-13,0
