Header,,,,,,,,,,,,,,,,
rate=120,,,,,,,,,,,,,,,,
frames=91,,,,,,,,,,,,,,,,
duration=2.0,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,0,0,0,15,90,30,-30,-30,0,30,-27,0,0,0,0
0.033,1,0,0,0,15,87,30,-30,-30,0,30,-27,0,0,0,0
0.066,2,0,0,0,15,84,30,-30,-30,0,30,-27,0,0,0,0
0.099,3,0,0,0,15,81,30,-30,-30,0,30,-27,0,0,0,0
0.132,4,0,0,0,15,78,30,-30,-30,0,30,-27,0,0,0,0
0.165,5,0,0,0,15,75,30,-30,-30,0,30,-27,0,0,0,0
0.198,6,0,0,0,15,72,30,-30,-30,0,30,-27,0,0,0,0
0.231,7,0,0,0,15,69,30,-30,-30,0,30,-27,0,0,0,0
0.264,8,0,0,0,15,66,30,-30,-30,0,30,-27,0,0,0,0
0.297,9,0,0,0,15,63,30,-30,-30,0,30,-27,0,0,0,0
0.33,10,0,0,0,15,60,30,-30,-30,0,30,-27,0,0,0,0
0.363,11,0,0,0,15,57,30,-30,-30,0,30,-27,0,0,0,0
0.396,12,0,0,0,15,54,30,-30,-30,0,30,-27,0,0,0,0
0.429,13,0,0,0,15,51,30,-30,-30,0,30,-27,0,0,0,0
0.462,14,0,0,0,15,48,30,-30,-30,0,30,-27,0,0,0,0
0.495,15,0,0,0,15,45,30,-30,-30,0,30,-27,0,0,0,0
0.528,16,0,0,0,15,42,30,-30,-30,0,30,-27,0,0,0,0
0.561,17,0,0,0,15,39,30,-30,-30,0,30,-27,0,0,0,0
0.594,18,0,0,0,15,36,30,-30,-30,0,30,-27,0,0,0,0
0.627,19,0,0,0,15,33,30,-30,-30,0,30,-27,0,0,0,0
0.66,20,0,0,0,15,30,30,-30,-30,0,30,-27,0,0,0,0
0.693,21,0,0,0,15,27,30,-30,-30,0,30,-27,0,0,0,0
0.726,22,0,0,0,15,24,30,-30,-30,0,30,-27,0,0,0,0
0.759,23,0,0,0,15,21,30,-30,-30,0,30,-27,0,0,0,0
0.792,24,0,0,0,15,18,30,-30,-30,0,30,-27,0,0,0,0
0.825,25,0,0,0,15,15,30,-30,-30,0,30,-27,0,0,0,0
0.858,26,0,0,0,15,12,30,-30,-30,0,30,-27,0,0,0,0
0.891,27,0,0,0,15,9,30,-30,-30,0,30,-27,0,0,0,0
0.924,28,0,0,0,15,6,30,-30,-30,0,30,-27,0,0,0,0
0.957,29,0,0,0,15,3,30,-30,-30,0,30,-27,0,0,0,0
0.99,30,0,0,0,15,0,30,-30,-30,0,30,-27,0,0,0,0
1.023,31,0,0,0,15,0,29,-30,-29,0,29,-26.1,0,0,0,0
1.056,32,0,0,0,15,0,28,-30,-28,0,28,-25.2,0,0,0,0
1.089,33,0,0,0,15,0,27,-30,-27,0,27,-24.3,0,0,0,0
1.122,34,0,0,0,15,0,26,-30,-26,0,26,-23.4,0,0,0,0
1.155,35,0,0,0,15,0,25,-30,-25,0,25,-22.5,0,0,0,0
1.188,36,0,0,0,15,0,24,-30,-24,0,24,-21.6,0,0,0,0
1.221,37,0,0,0,15,0,23,-30,-23,0,23,-20.7,0,0,0,0
1.254,38,0,0,0,15,0,22,-30,-22,0,22,-19.8,0,0,0,0
1.287,39,0,0,0,15,0,21,-30,-21,0,21,-18.9,0,0,0,0
1.32,40,0,0,0,15,0,20,-30,-20,0,20,-18,0,0,0,0
1.353,41,0,0,0,15,0,19,-30,-19,0,19,-17.1,0,0,0,0
1.386,42,0,0,0,15,0,18,-30,-18,0,18,-16.2,0,0,0,0
1.419,43,0,0,0,15,0,17,-30,-17,0,17,-15.3,0,0,0,0
