Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=11,,,,,,,,,,,,,,,,
duration=0.4,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,-30,65,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033,1,-30,65,0,0,0,0,0,0,0,0,0,0,0,0,0
0.066,2,-27,65,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099,3,-24,65,0,0,0,0,0,0,0,0,0,0,0,0,0
0.132,4,-22,65,0,0,0,0,0,0,0,0,0,0,0,0,0
0.165,5,-19,65,0,0,0,0,0,0,0,0,0,0,0,0,0
0.198,6,-16,65,0,0,0,0,0,0,0,0,0,0,0,0,0
0.231,7,-13,65,0,0,0,0,0,0,0,0,0,0,0,0,0
0.264,8,-11,65,0,0,0,0,0,0,0,0,0,0,0,0,0
0.297,9,-8,65,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,10,-5,65,0,0,0,0,0,0,0,0,0,0,0,0,0
