Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=121,,,,,,,,,,,,,,,,
duration=4.0,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,0,-4,0,-30,36,35,-50,-20,51,-14,-36,-15,46,17,0
0.033,1,0,4,0,-30,48,35,-50,-22,51,-11,-42,-15,46,17,0
0.066,2,0,4,0,-30,72,34,-50,-23,52,-6,-54,-15,45,16,0
0.099,3,0,4,0,-30,90,34,-51,-23,52,0,-66,-15,43,15,0
0.132,4,0,4,0,-30,90,33,-51,-24,52,3,-74,-14,42,14,0
0.165,5,0,4,0,-30,90,33,-51,-25,52,7,-79,-14,39,12,0
0.198,6,0,4,0,-21,90,32,-51,-26,52,11,-84,-13,37,10,0
0.231,7,0,4,0,-15,90,32,-52,-27,52,16,-89,-13,34,8,0
0.264,8,0,5,0,-11,90,31,-52,-28,51,20,-90,-12,30,6,0
0.297,9,0,5,0,-8,90,31,-52,-28,51,24,-90,-12,27,4,0
0.33,10,0,5,0,-6,90,30,-52,-29,51,27,-90,-11,23,1,0
0.363,11,0,5,0,-5,90,30,-52,-30,50,31,-90,-10,19,0,0
0.396,12,0,5,0,-5,90,30,-52,-30,50,35,-90,-9,14,-2,0
0.429,13,0,5,0,-5,90,29,-52,-30,49,38,-90,-9,10,-4,0
0.462,14,0,5,0,-5,90,29,-52,-30,48,41,-90,-8,6,-6,0
0.495,15,0,5,0,-5,90,28,-52,-30,47,44,-90,-7,1,-8,0
0.528,16,0,4,0,-5,90,28,-52,-30,46,45,-90,-6,-2,-10,0
0.561,17,0,3,0,-4,90,27,-52,-30,46,45,-90,-6,-7,-11,0
0.594,18,0,2,0,-4,90,27,-52,-30,44,45,-90,-6,-11,-12,0
0.627,19,0,1,0,-3,87,26,-52,-30,43,45,-90,-5,-15,-13,0
0.66,20,0,1,0,-2,82,25,-51,-30,42,45,-90,-5,-19,-13,0
0.693,21,0,1,0,-1,77,25,-51,-30,41,45,-90,-4,-23,-13,0
0.726,22,0,1,0,0,71,24,-50,-30,39,45,-87,-3,-27,-12,0
0.759,23,0,1,0,1,65,23,-49,-30,37,45,-81,-3,-30,-11,0
0.792,24,0,1,0,3,59,22,-48,-30,36,45,-73,-2,-33,-10,0
0.825,25,0,1,0,4,54,21,-47,-30,33,45,-66,-1,-36,-9,0
0.858,26,0,1,0,6,48,20,-46,-30,31,45,-58,-1,-38,-7,0
0.891,27,0,1,0,7,44,19,-45,-30,28,45,-52,0,-40,-5,0
0.924,28,0,1,0,7,40,18,-43,-30,24,43,-46,1,-41,-3,0
0.957,29,0,2,0,6,39,17,-41,-30,19,41,-42,2,-42,-1,0
0.99,30,0,2,0,4,41,16,-38,-30,13,39,-41,2,-43,0,0
1.023,31,0,2,0,1,43,15,-38,-30,21,39,-42,3,-42,2,0
1.056,32,0,2,0,-1,46,16,-40,-30,39,38,-43,4,-41,4,0
1.089,33,0,2,0,-4,48,19,-45,-30,58,36,-43,4,-40,6,0
1.122,34,0,2,0,-7,49,22,-51,-30,73,35,-43,5,-38,7,0
1.155,35,0,2,0,-10,50,25,-58,-30,85,34,-42,5,-36,9,0
1.188,36,0,3,0,-12,51,28,-65,-30,90,32,-42,6,-33,11,0
1.221,37,0,3,0,-14,52,31,-72,-27,90,31,-41,6,-30,12,0
1.254,38,0,3,0,-17,53,34,-78,-19,90,29,-40,6,-26,13,0
1.287,39,0,3,0,-19,53,36,-84,-7,90,27,-39,7,-23,13,0
1.32,40,0,3,0,-21,53,38,-89,4,90,25,-38,7,-19,13,0
1.353,41,0,3,0,-22,53,40,-90,17,90,24,-37,7,-15,13,0
1.386,42,0,3,0,-24,53,41,-90,27,89,22,-36,6,-10,13,0
1.419,43,0,4,0,-26,53,41,-90,35,84,20,-36,5,-6,12,0
1.452,44,0,4,0,-28,53,41,-90,38,82,19,-36,5,-1,11,0
1.485,45,0,4,0,-30,53,41,-90,37,84,17,-36,4,2,10,0
1.518,46,0,4,0,-30,53,42,-90,33,87,16,-36,3,7,8,0
1.551,47,0,4,0,-30,52,43,-90,29,88,15,-37,1,12,7,0
1.584,48,0,4,0,-30,52,45,-90,24,89,13,-38,0,16,5,0
1.617,49,0,4,0,-30,52,45,-90,18,88,12,-38,-1,20,3,0
1.65,50,0,4,0,-30,52,45,-90,13,86,10,-39,-3,25,1,0
1.683,51,0,5,0,-30,52,45,-90,9,83,9,-40,-4,29,0,0
1.716,52,0,5,0,-30,51,45,-90,5,79,7,-40,-6,32,-1,0
1.749,53,0,5,0,-30,51,45,-90,2,73,6,-40,-6,36,-3,0
1.782,54,0,5,0,-30,50,45,-90,0,67,4,-40,-7,39,-5,0
1.815,55,0,5,0,-30,49,45,-88,-1,61,2,-40,-9,42,-6,0
1.848,56,0,5,0,-30,48,45,-80,-1,54,0,-40,-10,44,-7,0
1.881,57,0,5,0,-30,47,45,-71,-1,48,-2,-39,-10,46,-8,0
1.914,58,0,5,0,-30,46,44,-63,-1,43,-4,-38,-11,47,-9,0
1.947,59,0,4,0,-30,44,41,-57,-2,40,-7,-36,-11,48,-10,0
1.98,60,0,3,0,-30,41,40,-55,-4,40,-10,-34,-12,48,-10,0
2.013,61,0,2,0,-30,47,39,-56,-7,42,-9,-37,-11,46,-10,0
2.046,62,0,1,0,-30,62,38,-57,-9,44,-5,-47,-11,45,-9,0
2.079,63,0,1,0,-30,77,37,-58,-12,46,-1,-58,-11,43,-8,0
2.112,64,0,1,0,-30,89,36,-59,-15,47,3,-68,-11,42,-7,0
2.145,65,0,1,0,-30,90,36,-60,-17,48,6,-77,-11,39,-6,0
2.178,66,0,1,0,-30,90,35,-61,-19,49,9,-83,-10,37,-4,0
2.211,67,0,1,0,-28,90,34,-62,-21,50,12,-87,-10,34,-2,0
2.244,68,0,1,0,-22,90,33,-62,-23,51,14,-90,-9,30,0,0
2.277,69,0,1,0,-15,90,32,-62,-25,51,17,-90,-9,27,1,0
2.31,70,0,1,0,-9,90,31,-63,-27,51,20,-90,-8,23,3,0
2.343,71,0,1,0,-3,90,31,-63,-28,52,23,-90,-7,19,5,0
2.376,72,0,2,0,1,90,30,-63,-30,51,25,-90,-7,14,7,0
2.409,73,0,2,0,5,90,29,-63,-30,51,28,-90,-6,10,9,0
2.442,74,0,2,0,8,90,28,-63,-30,51,31,-90,-6,6,11,0
2.475,75,0,2,0,9,89,27,-63,-30,50,33,-90,-6,1,13,0
2.508,76,0,2,0,9,89,26,-63,-30,49,36,-90,-5,-2,14,0
2.541,77,0,2,0,8,88,25,-62,-30,48,38,-90,-4,-7,15,0
2.574,78,0,2,0,8,86,24,-62,-30,47,41,-90,-4,-11,16,0
2.607,79,0,3,0,7,84,23,-61,-30,46,44,-90,-3,-15,17,0
2.64,80,0,3,0,5,82,22,-60,-30,44,45,-90,-3,-19,17,0
2.673,81,0,3,0,4,78,21,-60,-30,43,45,-90,-2,-23,17,0
2.706,82,0,3,0,3,74,20,-59,-30,41,45,-90,-1,-27,17,0
2.739,83,0,3,0,3,70,19,-58,-30,39,45,-90,-1,-30,17,0
2.772,84,0,3,0,2,66,18,-57,-30,37,45,-86,0,-33,16,0
2.805,85,0,3,0,2,61,17,-55,-30,34,45,-80,0,-36,16,0
2.838,86,0,4,0,2,56,15,-54,-30,32,45,-75,0,-38,16,0
2.871,87,0,4,0,2,52,14,-52,-30,29,45,-70,1,-40,15,0
2.904,88,0,4,0,1,49,12,-51,-30,25,43,-66,1,-41,15,0
2.937,89,0,4,0,0,48,10,-49,-30,21,42,-63,1,-42,14,0
2.97,90,0,4,0,-1,48,8,-47,-30,17,41,-62,1,-43,14,0
3.003,91,0,4,0,-3,50,7,-47,-30,25,40,-62,1,-42,13,0
3.036,92,0,4,0,-5,51,7,-49,-30,42,39,-62,1,-41,13,0
3.069,93,0,4,0,-7,52,8,-53,-30,60,37,-62,1,-40,12,0
3.102,94,0,5,0,-9,53,9,-58,-30,75,36,-62,1,-38,12,0
3.135,95,0,5,0,-12,54,11,-64,-30,87,35,-61,0,-36,11,0
3.168,96,0,5,0,-14,55,13,-70,-30,90,33,-61,0,-33,11,0
3.201,97,0,5,0,-16,55,15,-76,-30,90,32,-60,0,-30,10,0
3.234,98,0,5,0,-17,56,16,-81,-30,90,30,-60,0,-26,10,0
3.267,99,0,5,0,-19,56,18,-87,-30,90,29,-59,-1,-23,9,0
3.3,100,0,5,0,-21,56,19,-90,-29,90,27,-59,-1,-19,9,0
3.333,101,0,5,0,-22,56,20,-90,-21,90,25,-58,-1,-15,8,0
3.366,102,0,4,0,-24,56,21,-90,-12,90,24,-57,-2,-10,8,0
3.399,103,0,3,0,-25,56,22,-90,-5,90,22,-56,-2,-6,7,0
3.432,104,0,2,0,-27,56,23,-90,0,90,20,-55,-2,-1,7,0
3.465,105,0,1,0,-28,56,24,-90,1,90,19,-54,-3,2,6,0
3.498,106,0,1,0,-29,56,25,-90,2,90,17,-53,-3,7,5,0
3.531,107,0,1,0,-30,55,28,-90,1,90,15,-52,-3,12,5,0
3.564,108,0,1,0,-30,55,31,-90,1,90,14,-51,-4,16,4,0
3.597,109,0,1,0,-30,54,33,-90,0,90,12,-50,-4,20,4,0
3.63,110,0,1,0,-30,54,36,-90,0,90,11,-49,-4,25,3,0
3.663,111,0,1,0,-30,53,38,-90,0,85,9,-48,-5,29,2,0
3.696,112,0,1,0,-30,53,39,-90,0,79,8,-47,-5,32,2,0
3.729,113,0,1,0,-30,52,40,-90,0,72,7,-46,-5,36,1,0
3.762,114,0,1,0,-30,52,40,-90,1,65,5,-45,-6,39,1,0
3.795,115,0,2,0,-30,51,40,-84,3,57,4,-45,-6,42,1,0
3.828,116,0,2,0,-30,51,39,-77,6,50,4,-44,-6,44,0,0
3.861,117,0,2,0,-30,51,38,-71,8,42,3,-44,-6,46,0,0
3.894,118,0,2,0,-30,51,37,-64,11,35,2,-43,-6,47,0,0
3.927,119,0,2,0,-30,50,35,-60,14,30,2,-43,-6,48,0,0
3.96,120,0,2,0,-30,50,35,-58,15,27,2,-43,-6,46,0,0
