Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=61,,,,,,,,,,,,,,,,
duration=2.0,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033,1,0,0,0,0,0,0,-0.75,0,0,0,-0.75,0,0,-1.5,0
0.066,2,0,0,0,0,0,0,-1.5,0,0,0,-1.5,0,0,-3,0
0.099,3,0,0,0,0,0,0,-2.25,0,0,0,-2.25,0,0,-4.5,0
0.132,4,0,0,0,0,0,0,-3,0,0,0,-3,0,0,-6,0
0.165,5,0,0,0,0,0,0,-3.75,0,0,0,-3.75,0,0,-7.5,0
0.198,6,0,0,0,0,0,0,-4.5,0,0,0,-4.5,0,0,-9,0
0.231,7,0,0,0,0,0,0,-5.25,0,0,0,-5.25,0,0,-10.5,0
0.264,8,0,0,0,0,0,0,-6,0,0,0,-6,0,0,-12,0
0.297,9,0,0,0,0,0,0,-6.75,0,0,0,-6.75,0,0,-13.5,0
0.33,10,0,0,0,0,0,0,-7.5,0,0,0,-7.5,0,0,-15,0
0.363,11,0,0,0,0,0,0,-8.25,0,0,0,-8.25,0,0,-16.5,0
0.396,12,0,0,0,0,0,0,-9,0,0,0,-9,0,0,-18,0
0.429,13,0,0,0,0,0,0,-9.75,0,0,0,-9.75,0,0,-19.5,0
0.462,14,0,0,0,0,0,0,-10.5,0,0,0,-10.5,0,0,-21,0
0.495,15,0,0,0,0,0,0,-11.25,0,0,0,-11.25,0,0,-22.5,0
0.528,16,0,0,0,0,0,0,-12,0,0,0,-12,0,0,-24,0
0.561,17,0,0,0,0,0,0,-12.75,0,0,0,-12.75,0,0,-25.5,0
0.594,18,0,0,0,0,0,0,-13.5,0,0,0,-13.5,0,0,-27,0
0.627,19,0,0,0,0,0,0,-14.25,0,0,0,-14.25,0,0,-28.5,0
0.66,20,0,0,0,0,0,0,-15,0,0,0,-15,0,0,-30,0
0.693,21,0,0,0,0,0,0,-15.75,0,0,0,-15.75,0,0,-31.5,0
0.726,22,0,0,0,0,0,0,-16.5,0,0,0,-16.5,0,0,-33,0
0.759,23,0,0,0,0,0,0,-17.25,0,0,0,-17.25,0,0,-34.5,0
0.792,24,0,0,0,0,0,0,-18,0,0,0,-18,0,0,-36,0
0.825,25,0,0,0,0,0,0,-18.75,0,0,0,-18.75,0,0,-37.5,0
0.858,26,0,0,0,0,0,0,-19.5,0,0,0,-19.5,0,0,-39,0
0.891,27,0,0,0,0,0,0,-20.25,0,0,0,-20.25,0,0,-40.5,0
0.924,28,0,0,0,0,0,0,-21,0,0,0,-21,0,0,-42,0
0.957,29,0,0,0,0,0,0,-21.75,0,0,0,-21.75,0,0,-43.5,0
0.99,30,0,0,0,0,0,0,-22.5,0,0,0,-22.5,0,0,-45,0
1.023,31,0,0,0,0,0,0,-23.25,0,0,0,-23.25,0,0,-46.5,0
1.056,32,0,0,0,0,0,0,-24,0,0,0,-24,0,0,-48,0
1.089,33,0,0,0,0,0,0,-24.75,0,0,0,-24.75,0,0,-49.5,0
1.122,34,0,0,0,0,0,0,-25.5,0,0,0,-25.5,0,0,-51,0
1.155,35,0,0,0,0,0,0,-26.25,0,0,0,-26.25,0,0,-52.5,0
1.188,36,0,0,0,0,0,0,-27,0,0,0,-27,0,0,-54,0
1.221,37,0,0,0,0,0,0,-27.75,0,0,0,-27.75,0,0,-55.5,0
1.254,38,0,0,0,0,0,0,-28.5,0,0,0,-28.5,0,0,-57,0
1.287,39,0,0,0,0,0,0,-29.25,0,0,0,-29.25,0,0,-58.5,0
1.32,40,0,0,0,0,0,0,-30,0,0,0,-30,0,0,-60,0
1.353,41,0,0,0,0,0,0,-30.75,0,0,0,-30.75,0,0,-61.5,0
1.386,42,0,0,0,0,0,0,-31.5,0,0,0,-31.5,0,0,-63,0
1.419,43,0,0,0,0,0,0,-32.25,0,0,0,-32.25,0,0,-64.5,0
1.452,44,0,0,0,0,0,0,-33,0,0,0,-33,0,0,-66,0
1.485,45,0,0,0,0,0,0,-33.75,0,0,0,-33.75,0,0,-67.5,0
1.518,46,0,0,0,0,0,0,-34.5,0,0,0,-34.5,0,0,-69,0
1.551,47,0,0,0,0,0,0,-35.25,0,0,0,-35.25,0,0,-70.5,0
1.584,48,0,0,0,0,0,0,-36,0,0,0,-36,0,0,-72,0
1.617,49,0,0,0,0,0,0,-36.75,0,0,0,-36.75,0,0,-73.5,0
1.65,50,0,0,0,0,0,0,-37.5,0,0,0,-37.5,0,0,-75,0
1.683,51,0,0,0,0,0,0,-38.25,0,0,0,-38.25,0,0,-76.5,0
1.716,52,0,0,0,0,0,0,-39,0,0,0,-39,0,0,-78,0
1.749,53,0,0,0,0,0,0,-39.75,0,0,0,-39.75,0,0,-79.5,0
1.782,54,0,0,0,0,0,0,-40.5,0,0,0,-40.5,0,0,-81,0
1.815,55,0,0,0,0,0,0,-41.25,0,0,0,-41.25,0,0,-82.5,0
1.848,56,0,0,0,0,0,0,-42,0,0,0,-42,0,0,-84,0
1.881,57,0,0,0,0,0,0,-42.75,0,0,0,-42.75,0,0,-85.5,0
1.914,58,0,0,0,0,0,0,-43.5,0,0,0,-43.5,0,0,-87,0
1.947,59,0,0,0,0,0,0,-44.25,0,0,0,-44.25,0,0,-88.5,0
1.98,60,0,0,0,0,0,0,-45,0,0,0,-45,0,0,-90,0
