Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=62,,,,,,,,,,,,,,,,
duration=2.0,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033,1,2,0,0,0,0,3.162107997,3.162107997,0,0,3.162107997,3.162107997,0,0,0,0
0.066,2,5,0,0,0,0,6.28898711,6.28898711,0,0,6.28898711,6.28898711,0,0,0,0
0.099,3,8,0,0,0,0,9.345800938,9.345800938,0,0,9.345800938,9.345800938,0,0,0,0
0.132,4,11,0,0,0,0,12.29849367,12.29849367,0,0,12.29849367,12.29849367,0,0,0,0
0.165,5,13,0,0,0,0,15.11416952,15.11416952,0,0,15.11416952,15.11416952,0,0,0,0
0.198,6,16,0,0,0,0,17.76145917,17.76145917,0,0,17.76145917,17.76145917,0,0,0,0
0.231,7,19,0,0,0,0,20.21086931,20.21086931,0,0,20.21086931,20.21086931,0,0,0,0
0.264,8,22,0,0,0,0,22.43511118,22.43511118,0,0,22.43511118,22.43511118,0,0,0,0
0.297,9,25,0,0,0,0,24.40940463,24.40940463,0,0,24.40940463,24.40940463,0,0,0,0
0.33,10,25,0,0,0,0,26.11175414,26.11175414,0,0,26.11175414,26.11175414,0,0,0,0
0.363,11,20,0,0,0,0,27.52319392,27.52319392,0,0,27.52319392,27.52319392,0,0,0,0
0.396,12,15,0,0,0,0,28.62799921,28.62799921,0,0,28.62799921,28.62799921,0,0,0,0
0.429,13,10,0,0,0,0,29.41386142,29.41386142,0,0,29.41386142,29.41386142,0,0,0,0
0.462,14,5,0,0,0,0,29.87202529,29.87202529,0,0,29.87202529,29.87202529,0,0,0,0
0.495,15,0,0,0,0,0,29.99738645,29.99738645,0,0,29.99738645,29.99738645,0,0,0,0
0.528,16,-5,0,0,0,0,29.78854826,29.78854826,0,0,29.78854826,29.78854826,0,0,0,0
0.561,17,-10,0,0,0,0,29.24783737,29.24783737,0,0,29.24783737,29.24783737,0,0,0,0
0.594,18,-15,0,0,0,0,28.38127781,28.38127781,0,0,28.38127781,28.38127781,0,0,0,0
0.627,19,-20,0,0,0,0,27.19852388,27.19852388,0,0,27.19852388,27.19852388,0,0,0,0
0.66,20,-20,0,0,0,0,25.71275258,25.71275258,0,0,25.71275258,25.71275258,0,0,0,0
0.693,21,-18,0,0,0,0,23.94051682,23.94051682,0,0,23.94051682,23.94051682,0,0,0,0
0.726,22,-16,0,0,0,0,21.90156098,21.90156098,0,0,21.90156098,21.90156098,0,0,0,0
0.759,23,-14,0,0,0,0,19.61860096,19.61860096,0,0,19.61860096,19.61860096,0,0,0,0
0.792,24,-12,0,0,0,0,17.11707111,17.11707111,0,0,17.11707111,17.11707111,0,0,0,0
0.825,25,-9,0,0,0,0,14.42484084,14.42484084,0,0,14.42484084,14.42484084,0,0,0,0
0.858,26,-7,0,0,0,0,11.57190415,11.57190415,0,0,11.57190415,11.57190415,0,0,0,0
0.891,27,-5,0,0,0,0,8.590045474,8.590045474,0,0,8.590045474,8.590045474,0,0,0,0
