Header
rate=30
frames=80
duration=2.6
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033000,1,1,1,-2,0,2,0,-3,0,2,0,-2,1,5,5,0
0.066000,2,3,3,-4,0,5,0,-6,0,5,0,-5,2,11,11,0
0.099000,3,5,5,-6,0,7,0,-9,0,7,0,-7,3,17,17,0
0.132000,4,6,6,-8,0,10,0,-12,0,10,0,-10,4,23,23,0
0.165000,5,8,8,-10,0,12,0,-15,0,12,0,-12,5,29,29,0
0.198000,6,10,10,-12,0,15,0,-19,0,15,0,-15,6,35,35,0
0.231000,7,10,10,-12,0,15,0,-19,0,15,0,-15,6,35,35,0
0.264000,8,12,12,-15,0,19,0,-22,0,19,0,-19,7,30,30,0
0.297000,9,15,15,-18,0,23,0,-25,0,23,0,-23,8,24,24,0
0.330000,10,18,18,-21,0,27,0,-29,0,27,0,-27,10,18,18,0
0.363000,11,18,18,-21,0,27,0,-29,0,27,0,-27,10,18,18,0
0.396000,12,21,21,-25,0,31,0,-32,0,31,0,-31,11,12,12,0
0.429000,13,24,24,-30,0,36,0,-35,0,36,0,-36,12,6,6,0
0.462000,14,27,27,-35,0,40,0,-38,0,40,0,-40,13,0,0,0
0.495000,15,30,30,-40,0,45,0,-42,0,45,0,-45,14,-7,-7,0
0.528000,16,30,30,-40,0,45,0,-42,0,45,0,-45,14,-7,-7,0
0.561000,17,30,30,-40,0,45,0,-44,0,45,0,-45,15,-12,-12,0
0.594000,18,36,36,-50,0,54,0,-49,0,54,0,-54,13,-22,-22,0
0.627000,19,36,36,-50,0,54,0,-49,0,54,0,-54,13,-22,-22,0
0.660000,20,35,35,-50,0,53,0,-49,0,53,0,-53,12,-27,-27,0
0.693000,21,33,33,-50,0,49,0,-44,0,49,0,-49,9,-37,-37,0
0.726000,22,33,33,-50,0,49,0,-44,0,49,0,-49,9,-37,-37,0
0.759000,23,31,31,-50,0,46,0,-42,0,46,0,-46,8,-32,-32,0
0.792000,24,29,29,-50,0,43,0,-40,0,43,0,-43,7,-27,-27,0
0.825000,25,27,27,-50,0,40,0,-37,0,40,0,-40,6,-22,-22,0
0.858000,26,25,25,-50,0,37,0,-35,0,37,0,-37,4,-16,-16,0
0.891000,27,23,23,-50,0,34,0,-32,0,34,0,-34,3,-11,-11,0
0.924000,28,21,21,-50,0,31,0,-30,0,31,0,-31,2,-6,-6,0
0.957000,29,19,19,-50,0,28,0,-27,0,28,0,-28,0,0,0,0
0.990000,30,17,17,-50,0,25,0,-25,0,25,0,-25,-1,5,5,0
1.023000,31,15,15,-50,0,22,0,-23,0,22,0,-22,-2,10,10,0
1.056000,32,13,13,-50,0,19,0,-20,0,19,0,-19,-3,15,15,0
1.089000,33,11,11,-50,0,16,0,-18,0,16,0,-16,-5,21,21,0
1.122000,34,9,9,-50,0,13,0,-15,0,13,0,-13,-6,26,26,0
1.155000,35,7,7,-50,0,10,0,-13,0,10,0,-10,-7,31,31,0
1.188000,36,4,4,-50,0,6,0,-10,0,6,0,-6,-9,37,37,0
1.221000,37,4,4,-50,0,6,0,-10,0,6,0,-6,-9,37,37,0
1.254000,38,0,0,-51,0,0,0,-6,0,0,0,0,-11,28,28,0
1.287000,39,0,0,-51,0,0,0,-6,0,0,0,0,-11,28,28,0
1.320000,40,0,0,-55,0,1,0,-1,0,1,0,-1,-13,19,19,0
1.353000,41,0,0,-55,0,1,0,-1,0,1,0,-1,-13,19,19,0
1.386000,42,1,-1,-57,0,2,0,-3,0,2,0,-2,-15,14,14,0
1.419000,43,3,-3,-57,0,5,0,-6,0,5,0,-5,-14,10,10,0
1.452000,44,5,-5,-57,0,8,0,-9,0,8,0,-8,-13,5,5,0
1.485000,45,7,-7,-58,0,12,0,-12,0,12,0,-12,-11,-1,-1,0
1.518000,46,10,-10,-58,0,15,0,-16,0,15,0,-15,-10,-6,-6,0
1.551000,47,12,-12,-59,0,19,0,-19,0,19,0,-19,-8,-12,-12,0
1.584000,48,14,-14,-59,0,22,0,-22,0,22,0,-22,-7,-17,-17,0
1.617000,49,17,-17,-60,0,26,0,-26,0,26,0,-26,-5,-23,-23,0
1.650000,50,17,-17,-60,0,26,0,-26,0,26,0,-26,-5,-23,-23,0
1.683000,51,17,-17,-60,0,26,0,-28,0,26,0,-26,-3,-27,-27,0
1.716000,52,21,-21,-52,0,32,0,-34,0,32,0,-32,-1,-37,-37,0
1.749000,53,21,-21,-52,0,32,0,-34,0,32,0,-32,-1,-37,-37,0
1.782000,54,23,-23,-48,0,35,0,-37,0,35,0,-35,0,-32,-32,0
1.815000,55,26,-26,-43,0,39,0,-40,0,39,0,-39,2,-26,-26,0
1.848000,56,28,-28,-38,0,43,0,-44,0,43,0,-43,3,-20,-20,0
1.881000,57,31,-31,-34,0,46,0,-47,0,46,0,-46,5,-15,-15,0
1.914000,58,33,-33,-29,0,50,0,-50,0,50,0,-50,6,-9,-9,0
1.947000,59,36,-36,-24,0,54,0,-54,0,54,0,-54,8,-3,-3,0
1.980000,60,36,-36,-24,0,54,0,-54,0,54,0,-54,8,-3,-3,0
2.013000,61,34,-34,-23,0,51,0,-51,0,51,0,-51,9,3,3,0
2.046000,62,32,-32,-22,0,48,0,-47,0,48,0,-48,11,9,9,0
2.079000,63,30,-30,-21,0,45,0,-44,0,45,0,-45,13,15,15,0
2.112000,64,28,-28,-19,0,41,0,-40,0,41,0,-41,15,22,22,0
2.145000,65,28,-28,-19,0,41,0,-40,0,41,0,-41,15,22,22,0
2.178000,66,26,-26,-17,0,38,0,-38,0,38,0,-38,14,27,27,0
2.211000,67,24,-24,-16,0,36,0,-32,0,36,0,-36,12,37,37,0
2.244000,68,24,-24,-16,0,36,0,-32,0,36,0,-36,12,37,37,0
2.277000,69,22,-22,-15,0,33,0,-29,0,33,0,-33,11,32,32,0
2.310000,70,20,-20,-14,0,29,0,-26,0,29,0,-29,10,26,26,0
2.343000,71,17,-17,-12,0,26,0,-23,0,26,0,-26,9,20,20,0
2.376000,72,15,-15,-11,0,22,0,-20,0,22,0,-22,8,14,14,0
2.409000,73,13,-13,-10,0,19,0,-17,0,19,0,-19,7,8,8,0
2.442000,74,10,-10,-8,0,15,0,-13,0,15,0,-15,5,2,2,0
2.475000,75,10,-10,-8,0,15,0,-13,0,15,0,-15,5,2,2,0
2.508000,76,8,-8,-7,0,12,0,-10,0,12,0,-12,4,2,2,0
2.541000,77,5,-5,-5,0,8,0,-7,0,8,0,-8,3,1,1,0
2.574000,78,3,-3,-4,0,4,0,-4,0,4,0,-4,2,1,1,0
2.607000,79,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
2.640000,80,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
