Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=61,,,,,,,,,,,,,,,,
duration=2.0,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.033,1,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.066,2,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.099,3,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.132,4,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.165,5,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.198,6,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.231,7,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.264,8,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.297,9,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.33,10,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.363,11,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.396,12,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.429,13,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.462,14,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.495,15,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.528,16,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.561,17,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.594,18,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.627,19,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.66,20,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.693,21,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.726,22,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.759,23,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.792,24,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.825,25,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.858,26,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.891,27,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.924,28,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.957,29,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
0.99,30,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.023,31,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.056,32,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.089,33,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.122,34,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.155,35,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.188,36,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.221,37,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.254,38,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.287,39,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.32,40,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.353,41,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.386,42,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.419,43,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.452,44,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.485,45,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.518,46,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.551,47,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.584,48,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.617,49,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.65,50,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.683,51,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.716,52,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.749,53,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.782,54,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.815,55,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.848,56,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.881,57,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.914,58,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.947,59,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
1.98,60,10,0,-90,55,-40,-10,0,55,-40,-10,0,0,0,90,0
