Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=62,,,,,,,,,,,,,,,,
duration=2.1,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033,1,0,0,-3,0,0,0,0,0,0,0,0,0,18.40968595,0,0
0.066,2,0,0,-7,0,0,0,0,0,0,0,0,0,36.04085151,0,0
0.099,3,0,0,-11,0,0,0,0,0,0,0,0,0,52.14789884,0,0
0.132,4,0,0,-15,0,0,0,0,0,0,0,0,0,66.04968298,0,0
0.165,5,0,0,-15,0,0,0,0,0,0,0,0,0,77.15831653,0,0
0.198,6,0,0,-17,0,0,0,0,0,0,0,0,0,85.00403059,0,0
0.231,7,0,0,-20,0,0,0,0,0,0,0,0,0,89.25504067,0,0
0.264,8,0,0,-23,0,0,0,0,0,0,0,0,0,89.73157738,0,0
0.297,9,0,0,-26,0,0,0,0,0,0,0,0,0,86.41348863,0,0
0.33,10,0,0,-29,0,0,0,0,0,0,0,0,0,79.44109185,0,0
0.363,11,0,0,-32,0,0,0,0,0,0,0,0,0,69.10924014,0,0
0.396,12,0,0,-35,0,0,0,0,0,0,0,0,0,55.85485336,0,0
0.429,13,0,0,-38,0,0,0,0,0,0,0,0,0,40.23844137,0,0
0.462,14,0,0,-41,0,0,0,0,0,0,0,0,0,22.92040082,0,0
0.495,15,0,0,-44,0,0,0,0,0,0,0,0,0,4.633087929,0,0
0.528,16,0,0,-46,0,0,0,0,0,0,0,0,0,-13.8501519,0,0
0.561,17,0,0,-49,0,0,0,0,0,0,0,0,0,-31.74768779,0,0
0.594,18,0,0,-52,0,0,0,0,0,0,0,0,0,-48.30265746,0,0
0.627,19,0,0,-55,0,0,0,0,0,0,0,0,0,-62.81497393,0,0
0.66,20,0,0,-58,0,0,0,0,0,0,0,0,0,-74.67093122,0,0
0.693,21,0,0,-61,0,0,0,0,0,0,0,0,0,-83.36915714,0,0
0.726,22,0,0,-64,0,0,0,0,0,0,0,0,0,-88.54181564,0,0
0.759,23,0,0,-67,0,0,0,0,0,0,0,0,0,-89.97016208,0,0
0.792,24,0,0,-70,0,0,0,0,0,0,0,0,0,-87.59379363,0,0
0.825,25,0,0,-73,0,0,0,0,0,0,0,0,0,-81.51320368,0,0
0.858,26,0,0,-75,0,0,0,0,0,0,0,0,0,-71.98553203,0,0
0.891,27,0,0,-78,0,0,0,0,0,0,0,0,0,-59.41369086,0,0
0.924,28,0,0,-81,0,0,0,0,0,0,0,0,0,-44.32932612,0,0
0.957,29,0,0,-84,0,0,0,0,0,0,0,0,0,-27.37033491,0,0
0.99,30,0,0,-87,0,0,0,0,0,0,0,0,0,-9.253889742,0,0
1.023,31,0,0,-90,0,0,0,0,0,0,0,0,0,9.253889742,0,0
1.056,32,0,0,-90,0,0,0,0,0,0,0,0,0,27.37033491,0,0
1.089,33,0,0,-90,0,0,0,0,0,0,0,0,0,44.32932612,0,0
1.122,34,0,0,-90,0,0,0,0,0,0,0,0,0,59.41369086,0,0
1.155,35,0,0,-90,0,0,0,0,0,0,0,0,0,71.98553203,0,0
1.188,36,0,0,-90,0,0,0,0,0,0,0,0,0,81.51320368,0,0
1.221,37,0,0,-90,0,0,0,0,0,0,0,0,0,87.59379363,0,0
1.254,38,0,0,-87,0,0,0,0,0,0,0,0,0,89.97016208,0,0
1.287,39,0,0,-83,0,0,0,0,0,0,0,0,0,88.54181564,0,0
1.32,40,0,0,-79,0,0,0,0,0,0,0,0,0,83.36915714,0,0
1.353,41,0,0,-75,0,0,0,0,0,0,0,0,0,74.67093122,0,0
1.386,42,0,0,-71,0,0,0,0,0,0,0,0,0,62.81497393,0,0
1.419,43,0,0,-67,0,0,0,0,0,0,0,0,0,48.30265746,0,0
1.452,44,0,0,-63,0,0,0,0,0,0,0,0,0,31.74768779,0,0
1.485,45,0,0,-59,0,0,0,0,0,0,0,0,0,13.8501519,0,0
1.518,46,0,0,-55,0,0,0,0,0,0,0,0,0,-4.633087929,0,0
1.551,47,0,0,-51,0,0,0,0,0,0,0,0,0,-22.92040082,0,0
1.584,48,0,0,-47,0,0,0,0,0,0,0,0,0,-40.23844137,0,0
1.617,49,0,0,-43,0,0,0,0,0,0,0,0,0,-55.85485336,0,0
1.65,50,0,0,-43,0,0,0,0,0,0,0,0,0,-69.10924014,0,0
1.683,51,0,0,-38,0,0,0,0,0,0,0,0,0,-79.44109185,0,0
1.716,52,0,0,-33,0,0,0,0,0,0,0,0,0,-86.41348863,0,0
1.749,53,0,0,-33,0,0,0,0,0,0,0,0,0,-89.73157738,0,0
1.782,54,0,0,-30,0,0,0,0,0,0,0,0,0,-89.25504067,0,0
1.815,55,0,0,-27,0,0,0,0,0,0,0,0,0,-85.00403059,0,0
1.848,56,0,0,-23,0,0,0,0,0,0,0,0,0,-77.15831653,0,0
1.881,57,0,0,-19,0,0,0,0,0,0,0,0,0,-66.04968298,0,0
1.914,58,0,0,-15,0,0,0,0,0,0,0,0,0,-52.14789884,0,0
1.947,59,0,0,-12,0,0,0,0,0,0,0,0,0,-36.04085151,0,0
1.98,60,0,0,-8,0,0,0,0,0,0,0,0,0,-18.40968595,0,0
2.013,61,0,0,-4,0,0,0,0,0,0,0,0,0,-4.41053E-14,0,0
2.046,62,0,0,0,0,0,0,0,0,0,0,0,0,18.40968595,0,0
