Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=61,,,,,,,,,,,,,,,,
duration=2.0,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
0.066,2,-1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0
0.099,3,-2,0,-4,0,0,0,0,0,0,0,0,0,0,0,0
0.132,4,-3,0,-6,0,0,0,0,0,0,0,0,0,0,0,0
0.165,5,-4,0,-7,0,0,0,0,0,0,0,0,0,0,0,0
0.198,6,-5,0,-9,0,0,0,0,0,0,0,0,0,0,0,0
0.231,7,-5,0,-10,0,0,0,0,0,0,0,0,0,0,0,0
0.264,8,-6,0,-12,0,0,0,0,0,0,0,0,0,0,0,0
0.297,9,-7,0,-13,0,0,0,0,0,0,0,0,0,0,0,0
0.33,10,-8,0,-15,0,0,0,0,0,0,0,0,0,0,0,0
0.363,11,-9,0,-16,0,0,0,0,0,0,0,0,0,0,0,0
0.396,12,-10,0,-18,0,0,0,0,0,0,0,0,0,0,0,0
0.429,13,-11,0,-19,0,0,0,0,0,0,0,0,0,0,0,0
0.462,14,-11,0,-21,0,0,0,0,0,0,0,0,0,0,0,0
0.495,15,-12,0,-22,0,0,0,0,0,0,0,0,0,0,0,0
0.528,16,-13,0,-24,0,0,0,0,0,0,0,0,0,0,0,0
0.561,17,-14,0,-25,0,0,0,0,0,0,0,0,0,0,0,0
0.594,18,-15,0,-27,0,0,0,0,0,0,0,0,0,0,0,0
0.627,19,-16,0,-28,0,0,0,0,0,0,0,0,0,0,0,0
0.66,20,-16,0,-30,0,0,0,0,0,0,0,0,0,0,0,0
0.693,21,-17,0,-32,0,0,0,0,0,0,0,0,0,0,0,0
0.726,22,-18,0,-33,0,0,0,0,0,0,0,0,0,0,0,0
0.759,23,-19,0,-35,0,0,0,0,0,0,0,0,0,0,0,0
0.792,24,-20,0,-36,0,0,0,0,0,0,0,0,0,0,0,0
0.825,25,-21,0,-38,0,0,0,0,0,0,0,0,0,0,0,0
0.858,26,-22,0,-39,0,0,0,0,0,0,0,0,0,0,0,0
0.891,27,-22,0,-41,0,0,0,0,0,0,0,0,0,0,0,0
0.924,28,-23,0,-42,0,0,0,0,0,0,0,0,0,0,0,0
0.957,29,-24,0,-44,0,0,0,0,0,0,0,0,0,0,0,0
0.99,30,-25,0,-45,0,0,0,0,0,0,0,0,0,0,0,0
1.023,31,-26,0,-47,0,0,0,0,0,0,0,0,0,0,0,0
1.056,32,-27,0,-48,0,0,0,0,0,0,0,0,0,0,0,0
1.089,33,-27,0,-50,0,0,0,0,0,0,0,0,0,0,0,0
1.122,34,-28,0,-51,0,0,0,0,0,0,0,0,0,0,0,0
1.155,35,-29,0,-53,0,0,0,0,0,0,0,0,0,0,0,0
1.188,36,-30,0,-54,0,0,0,0,0,0,0,0,0,0,0,0
1.221,37,-31,0,-56,0,0,0,0,0,0,0,0,0,0,0,0
1.254,38,-32,0,-57,0,0,0,0,0,0,0,0,0,0,0,0
1.287,39,-33,0,-59,0,0,0,0,0,0,0,0,0,0,0,0
1.32,40,-33,0,-61,0,0,0,0,0,0,0,0,0,0,0,0
1.353,41,-34,0,-62,0,0,0,0,0,0,0,0,0,0,0,0
1.386,42,-35,0,-64,0,0,0,0,0,0,0,0,0,0,0,0
1.419,43,-36,0,-65,0,0,0,0,0,0,0,0,0,0,0,0
1.452,44,-37,0,-67,0,0,0,0,0,0,0,0,0,0,0,0
1.485,45,-38,0,-68,0,0,0,0,0,0,0,0,0,0,0,0
1.518,46,-38,0,-70,0,0,0,0,0,0,0,0,0,0,0,0
1.551,47,-39,0,-71,0,0,0,0,0,0,0,0,0,0,0,0
1.584,48,-40,0,-73,0,0,0,0,0,0,0,0,0,0,0,0
1.617,49,-41,0,-74,0,0,0,0,0,0,0,0,0,0,0,0
1.65,50,-42,0,-76,0,0,0,0,0,0,0,0,0,0,0,0
1.683,51,-43,0,-77,0,0,0,0,0,0,0,0,0,0,0,0
1.716,52,-44,0,-79,0,0,0,0,0,0,0,0,0,0,0,0
1.749,53,-44,0,-80,0,0,0,0,0,0,0,0,0,0,0,0
1.782,54,-45,0,-82,0,0,0,0,0,0,0,0,0,0,0,0
1.815,55,-46,0,-83,0,0,0,0,0,0,0,0,0,0,0,0
1.848,56,-47,0,-85,0,0,0,0,0,0,0,0,0,0,0,0
1.881,57,-48,0,-86,0,0,0,0,0,0,0,0,0,0,0,0
1.914,58,-49,0,-88,0,0,0,0,0,0,0,0,0,0,0,0
1.947,59,-50,0,-90,0,0,0,0,0,0,0,0,0,0,0,0
1.98,60,-50,0,-90,0,0,0,0,0,0,0,0,0,0,0,0
