Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=122,,,,,,,,,,,,,,,,
duration=4.0,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,20,0,-45,55,30,0,-15,35,20,-45,-15,0,0,12.85714286,0
0.033,1,32.37309798,9.330094147,-48,58.09327449,38.75364528,2.033683215,-12.96631678,38.09327449,23.71572413,-42.96631678,-12.96631678,2.073354255,1.039558454,25.71428571,0
0.066,2,44.21430148,18.55964696,-51,61.05357537,44.21694016,3.715724127,-11.28427587,41.05357537,24.97260948,-41.28427587,-11.28427587,4.124365992,2.033683215,38.57142857,0
0.099,3,55.01458111,27.58920055,-55,63.75364528,44.33632253,4.755282581,-10.24471742,43.75364528,22.93892626,-40.24471742,-10.24471742,6.130933456,2.938926261,51.42857143,0
0.132,4,64.30965467,36.32145222,-58,66.07741367,39.06691851,4.972609477,-10.02739052,46.07741367,18.96044155,-40.02739052,-10.02739052,8.071433826,3.715724127,64.28571429,0
0.165,5,71.69994574,44.66230299,-61,67.92498644,30.38940988,4.330127019,-10.66987298,47.92498644,15.66987298,-40.66987298,-10.66987298,9.924956221,4.330127019,77.14285714,0
0.198,6,76.86776065,52.52187166,-64,69.21694016,21.56552852,2.938926261,-12.06107374,49.21694016,15.24471742,-42.06107374,-12.06107374,11.67152704,4.755282581,90,0
0.231,7,79.59094548,59.81546331,-68,69.89773637,15.9120254,1.039558454,-13.96044155,49.89773637,17.96631678,-43.96044155,-13.96044155,13.29232518,4.972609477,90,0
0.264,8,79.75243601,66.46448201,-71,69.938109,15.55395879,-1.039558454,-16.03955845,49.938109,22.03368322,-46.03955845,-16.03955845,14.76988489,4.972609477,90,0
0.297,9,77.3452901,72.39727776,-74,69.33632253,20.62591999,-2.938926261,-17.93892626,49.33632253,24.75528258,-47.93892626,-17.93892626,16.08828395,4.755282581,90,0
0.33,10,72.47298609,77.54991862,-77,68.11824652,29.22144273,-4.330127019,-19.33012702,48.11824652,24.33012702,-49.33012702,-19.33012702,17.23331525,4.330127019,90,0
0.363,11,65.34497446,81.86687958,-80,66.33624362,38.10961226,-4.972609477,-19.97260948,46.33624362,21.03955845,-49.97260948,-19.97260948,18.19263991,3.715724127,90,0
0.396,12,56.26767404,85.30164098,-84,64.06691851,43.94951276,-4.755282581,-19.75528258,44.06691851,17.06107374,-49.75528258,-19.75528258,18.95592022,2.938926261,90,0
0.429,13,45.63129963,87.81718973,-87,61.40782491,44.54602226,-3.715724127,-18.71572413,41.40782491,15.02739052,-48.71572413,-18.71572413,19.51493105,2.033683215,90,0
0.462,14,33.89308745,89.38641822,-90,58.47327186,39.67492273,-2.033683215,-17.03368322,38.47327186,16.28427587,-47.03368322,-17.03368322,19.86364849,1.039558454,90,0
0.495,15,21.55763952,89.9924164,-87,55.38940988,31.16717986,-1.23E-15,-15,35.38940988,20,-45,-15,19.99831476,6.13E-16,78,0
