Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=101,,,,,,,,,,,,,,,,
duration=3.3,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.066,2,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099,3,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.132,4,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0
0.165,5,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0
0.198,6,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0
0.231,7,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0
0.264,8,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0
0.297,9,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,10,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0
0.363,11,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0
0.396,12,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0
0.429,13,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.462,14,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0
0.495,15,10,38,0,0,0,0,0,0,0,0,0,0,0,0,0
0.528,16,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0
0.561,17,10,44,0,0,0,0,0,0,0,0,0,0,0,0,0
0.594,18,10,47,0,0,0,0,0,0,0,0,0,0,0,0,0
0.627,19,10,49,0,0,0,0,0,0,0,0,0,0,0,0,0
0.66,20,10,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0.693,21,10,55,0,0,0,0,0,0,0,0,0,0,0,0,0
0.726,22,10,57,0,0,0,0,0,0,0,0,0,0,0,0,0
0.759,23,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0
0.792,24,10,63,0,0,0,0,0,0,0,0,0,0,0,0,0
0.825,25,10,65,0,0,0,0,0,0,0,0,0,0,0,0,0
0.858,26,10,65,0,0,0,0,0,0,0,0,0,0,0,0,0
0.891,27,10,62,0,0,0,0,0,0,0,0,0,0,0,0,0
0.924,28,10,59,0,0,0,0,0,0,0,0,0,0,0,0,0
0.957,29,10,57,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99,30,10,54,0,0,0,0,0,0,0,0,0,0,0,0,0
1.023,31,10,51,0,0,0,0,0,0,0,0,0,0,0,0,0
1.056,32,10,49,0,0,0,0,0,0,0,0,0,0,0,0,0
1.089,33,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0
1.122,34,10,43,0,0,0,0,0,0,0,0,0,0,0,0,0
1.155,35,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0
1.188,36,10,38,0,0,0,0,0,0,0,0,0,0,0,0,0
1.221,37,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0
1.254,38,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0
1.287,39,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0
1.32,40,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0
1.353,41,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1.386,42,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0
1.419,43,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0
1.452,44,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0
1.485,45,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1.518,46,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1.551,47,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1.584,48,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1.617,49,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1.65,50,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.683,51,10,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
1.716,52,10,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
1.749,53,10,-7,0,0,0,0,0,0,0,0,0,0,0,0,0
1.782,54,10,-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1.815,55,10,-12,0,0,0,0,0,0,0,0,0,0,0,0,0
1.848,56,10,-15,0,0,0,0,0,0,0,0,0,0,0,0,0
1.881,57,10,-18,0,0,0,0,0,0,0,0,0,0,0,0,0
1.914,58,10,-20,0,0,0,0,0,0,0,0,0,0,0,0,0
1.947,59,10,-23,0,0,0,0,0,0,0,0,0,0,0,0,0
1.98,60,10,-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2.013,61,10,-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2.046,62,10,-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2.079,63,10,-34,0,0,0,0,0,0,0,0,0,0,0,0,0
2.112,64,10,-36,0,0,0,0,0,0,0,0,0,0,0,0,0
2.145,65,10,-39,0,0,0,0,0,0,0,0,0,0,0,0,0
2.178,66,10,-42,0,0,0,0,0,0,0,0,0,0,0,0,0
2.211,67,10,-44,0,0,0,0,0,0,0,0,0,0,0,0,0
2.244,68,10,-47,0,0,0,0,0,0,0,0,0,0,0,0,0
2.277,69,10,-50,0,0,0,0,0,0,0,0,0,0,0,0,0
2.31,70,10,-52,0,0,0,0,0,0,0,0,0,0,0,0,0
2.343,71,10,-55,0,0,0,0,0,0,0,0,0,0,0,0,0
2.376,72,10,-58,0,0,0,0,0,0,0,0,0,0,0,0,0
2.409,73,10,-60,0,0,0,0,0,0,0,0,0,0,0,0,0
2.442,74,10,-63,0,0,0,0,0,0,0,0,0,0,0,0,0
2.475,75,10,-65,0,0,0,0,0,0,0,0,0,0,0,0,0
2.508,76,10,-65,0,0,0,0,0,0,0,0,0,0,0,0,0
2.541,77,10,-62,0,0,0,0,0,0,0,0,0,0,0,0,0
2.574,78,10,-59,0,0,0,0,0,0,0,0,0,0,0,0,0
2.607,79,10,-56,0,0,0,0,0,0,0,0,0,0,0,0,0
2.64,80,10,-54,0,0,0,0,0,0,0,0,0,0,0,0,0
2.673,81,10,-51,0,0,0,0,0,0,0,0,0,0,0,0,0
2.706,82,10,-48,0,0,0,0,0,0,0,0,0,0,0,0,0
2.739,83,10,-46,0,0,0,0,0,0,0,0,0,0,0,0,0
2.772,84,10,-43,0,0,0,0,0,0,0,0,0,0,0,0,0
2.805,85,10,-40,0,0,0,0,0,0,0,0,0,0,0,0,0
2.838,86,10,-37,0,0,0,0,0,0,0,0,0,0,0,0,0
2.871,87,10,-35,0,0,0,0,0,0,0,0,0,0,0,0,0
2.904,88,10,-32,0,0,0,0,0,0,0,0,0,0,0,0,0
2.937,89,10,-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2.97,90,10,-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3.003,91,10,-24,0,0,0,0,0,0,0,0,0,0,0,0,0
3.036,92,10,-21,0,0,0,0,0,0,0,0,0,0,0,0,0
3.069,93,10,-18,0,0,0,0,0,0,0,0,0,0,0,0,0
