Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=121,,,,,,,,,,,,,,,,
duration=4.0,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,0,-4,0,-20,51,-14,-36,-30,36,35,-50,14,-46,17,0
0.033,1,0,-4,0,-22,51,-11,-42,-30,47,35,-50,14,-46,17,0
0.066,2,0,-4,0,-23,52,-6,-54,-30,69,34,-50,14,-45,16,0
0.099,3,0,-4,0,-23,52,0,-66,-30,82,34,-51,14,-43,15,0
0.132,4,0,-4,0,-24,52,3,-74,-30,83,33,-51,13,-42,14,0
0.165,5,0,-4,0,-25,52,7,-79,-30,83,33,-51,13,-39,12,0
0.198,6,0,-4,0,-26,52,11,-84,-24,83,32,-51,12,-37,10,0
0.231,7,0,-4,0,-27,52,16,-89,-18,83,32,-52,12,-34,8,0
0.264,8,0,-5,0,-28,51,20,-90,-14,83,31,-52,11,-30,6,0
0.297,9,0,-5,0,-28,51,24,-90,-11,83,31,-52,11,-27,4,0
0.33,10,0,-5,0,-29,51,27,-90,-11,83,30,-52,10,-23,1,0
0.363,11,0,-5,0,-30,50,31,-90,-10,84,30,-52,9,-19,0,0
0.396,12,0,-5,0,-30,50,35,-90,-10,84,30,-52,8,-14,-2,0
0.429,13,0,-5,0,-30,49,38,-90,-10,84,29,-52,8,-10,-4,0
0.462,14,0,-5,0,-30,48,41,-90,-10,84,29,-52,7,-6,-6,0
0.495,15,0,-5,0,-30,47,44,-90,-10,84,28,-52,6,-1,-8,0
0.528,16,0,-4,0,-30,46,45,-90,-10,84,28,-52,5,2,-10,0
0.561,17,0,-3,0,-30,46,45,-90,-9,84,27,-52,5,7,-11,0
0.594,18,0,-2,0,-30,44,45,-90,-9,84,27,-52,5,11,-12,0
0.627,19,0,-1,0,-30,43,45,-90,-8,81,26,-52,4,15,-13,0
0.66,20,0,-1,0,-30,42,45,-90,-7,76,25,-51,4,19,-13,0
0.693,21,0,-1,0,-30,41,45,-90,-6,71,25,-51,3,23,-13,0
0.726,22,0,-1,0,-30,39,45,-87,-5,67,24,-50,2,27,-12,0
0.759,23,0,-1,0,-30,37,45,-81,-4,64,23,-49,2,30,-11,0
0.792,24,0,-1,0,-30,36,45,-73,-2,58,22,-48,1,33,-10,0
0.825,25,0,-1,0,-30,33,45,-66,-1,53,21,-47,0,36,-9,0
0.858,26,0,-1,0,-30,31,45,-58,1,47,20,-46,0,38,-7,0
0.891,27,0,-1,0,-30,28,45,-52,2,43,19,-45,-1,40,-5,0
0.924,28,0,-1,0,-30,24,43,-46,2,39,18,-43,-2,41,-3,0
0.957,29,0,-2,0,-30,19,41,-42,1,38,17,-41,-3,42,-1,0
0.99,30,0,-2,0,-30,13,39,-41,-4,40,16,-38,-3,43,0,0
1.023,31,0,-2,0,-30,21,39,-42,-4,42,15,-38,-4,42,2,0
1.056,32,0,-2,0,-30,39,38,-43,-7,45,16,-40,-5,41,4,0
1.089,33,0,-2,0,-30,58,36,-43,-9,48,19,-45,-5,40,6,0
1.122,34,0,-2,0,-30,73,35,-43,-12,49,22,-51,-6,38,7,0
1.155,35,0,-2,0,-30,85,34,-42,-15,50,25,-58,-6,36,9,0
1.188,36,0,-3,0,-30,90,32,-42,-17,51,28,-65,-7,33,11,0
1.221,37,0,-3,0,-27,90,31,-41,-19,52,31,-72,-7,30,12,0
1.254,38,0,-3,0,-19,90,29,-40,-22,53,34,-78,-7,26,13,0
1.287,39,0,-3,0,-7,90,27,-39,-25,53,36,-84,-8,23,13,0
1.32,40,0,-3,0,4,90,25,-38,-26,53,38,-89,-8,19,13,0
1.353,41,0,-3,0,17,90,24,-37,-27,53,40,-90,-8,15,13,0
1.386,42,0,-3,0,27,89,22,-36,-26,53,41,-90,-7,10,13,0
1.419,43,0,-4,0,35,84,20,-36,-28,53,41,-90,-6,6,12,0
1.452,44,0,-4,0,38,82,19,-36,-28,53,41,-90,-6,1,11,0
1.485,45,0,-4,0,37,84,17,-36,-30,53,41,-90,-5,-2,10,0
1.518,46,0,-4,0,33,87,16,-36,-30,53,42,-90,-4,-7,8,0
1.551,47,0,-4,0,29,88,15,-37,-30,52,43,-90,-2,-12,7,0
1.584,48,0,-4,0,24,89,13,-38,-30,52,45,-90,-1,-16,5,0
1.617,49,0,-4,0,18,88,12,-38,-30,52,45,-90,0,-20,3,0
1.65,50,0,-4,0,13,86,10,-39,-30,52,45,-90,2,-25,1,0
1.683,51,0,-5,0,9,83,9,-40,-30,52,45,-90,3,-29,0,0
1.716,52,0,-5,0,5,79,7,-40,-30,51,45,-90,5,-32,-1,0
1.749,53,0,-5,0,2,73,6,-40,-30,51,45,-90,5,-36,-3,0
1.782,54,0,-5,0,0,67,4,-40,-30,50,45,-90,6,-39,-5,0
1.815,55,0,-5,0,-1,61,2,-40,-30,49,45,-88,8,-42,-6,0
1.848,56,0,-5,0,-1,54,0,-40,-30,48,45,-80,9,-44,-7,0
1.881,57,0,-5,0,-1,48,-2,-39,-30,47,45,-71,9,-46,-8,0
1.914,58,0,-5,0,-1,43,-4,-38,-30,46,44,-63,10,-47,-9,0
1.947,59,0,-4,0,-2,40,-7,-36,-30,44,41,-57,10,-48,-10,0
1.98,60,0,-3,0,-4,40,-10,-34,-30,39,40,-55,11,-48,-10,0
2.013,61,0,-2,0,-7,42,-9,-37,-30,43,39,-56,10,-46,-10,0
2.046,62,0,-1,0,-9,44,-5,-47,-30,59,38,-57,10,-45,-9,0
2.079,63,0,-1,0,-12,46,-1,-58,-30,73,37,-58,10,-43,-8,0
2.112,64,0,-1,0,-15,47,3,-68,-30,85,36,-59,10,-42,-7,0
2.145,65,0,-1,0,-17,48,6,-77,-30,86,36,-60,10,-39,-6,0
2.178,66,0,-1,0,-19,49,9,-83,-30,86,35,-61,9,-37,-4,0
2.211,67,0,-1,0,-21,50,12,-87,-28,86,34,-62,9,-34,-2,0
2.244,68,0,-1,0,-23,51,14,-90,-25,86,33,-62,8,-30,0,0
2.277,69,0,-1,0,-25,51,17,-90,-19,86,32,-62,8,-27,1,0
2.31,70,0,-1,0,-27,51,20,-90,-13,86,31,-63,7,-23,3,0
2.343,71,0,-1,0,-28,52,23,-90,-7,86,31,-63,6,-19,5,0
2.376,72,0,-2,0,-30,51,25,-90,-3,86,30,-63,6,-14,7,0
2.409,73,0,-2,0,-30,51,28,-90,1,86,29,-63,5,-10,9,0
2.442,74,0,-2,0,-30,51,31,-90,4,86,28,-63,5,-6,11,0
2.475,75,0,-2,0,-30,50,33,-90,5,85,27,-63,5,-1,13,0
2.508,76,0,-2,0,-30,49,36,-90,5,85,26,-63,4,2,14,0
2.541,77,0,-2,0,-30,48,38,-90,4,84,25,-62,3,7,15,0
2.574,78,0,-2,0,-30,47,41,-90,4,82,24,-62,3,11,16,0
2.607,79,0,-3,0,-30,46,44,-90,3,80,23,-61,2,15,17,0
2.64,80,0,-3,0,-30,44,45,-90,1,78,22,-60,2,19,17,0
2.673,81,0,-3,0,-30,43,45,-90,0,74,21,-60,1,23,17,0
2.706,82,0,-3,0,-30,41,45,-90,-1,70,20,-59,0,27,17,0
2.739,83,0,-3,0,-30,39,45,-90,-1,66,19,-58,0,30,17,0
2.772,84,0,-3,0,-30,37,45,-86,-2,62,18,-57,-1,33,16,0
2.805,85,0,-3,0,-30,34,45,-80,-2,57,17,-55,-1,36,16,0
2.838,86,0,-4,0,-30,32,45,-75,-2,52,15,-54,-1,38,16,0
2.871,87,0,-4,0,-30,29,45,-70,-2,49,14,-52,-2,40,15,0
2.904,88,0,-4,0,-30,25,43,-66,-3,49,12,-51,-2,41,15,0
