Header,,,,,,,,,,,,,,,,
rate=30,,,,,,,,,,,,,,,,
frames=121,,,,,,,,,,,,,,,,
duration=4.0,,,,,,,,,,,,,,,,
type=degree,,,,,,,,,,,,,,,,
Body,,,,,,,,,,,,,,,,
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
0,0,0,-4,0,-20,51,-14,-36,-30,39,35,-50,11,-46,17,0
0.033,1,0,-4,0,-22,51,-11,-42,-30,58,37,-50,11,-46,17,0
0.066,2,0,-4,0,-23,52,-6,-54,-30,73,39,-50,11,-45,16,0
0.099,3,0,-4,0,-23,52,0,-66,-30,85,38,-51,11,-43,15,0
0.132,4,0,-4,0,-24,52,3,-74,-30,90,38,-51,10,-42,14,0
0.165,5,0,-4,0,-25,52,7,-79,-27,90,40,-51,10,-39,12,0
0.198,6,0,-4,0,-26,52,11,-84,-19,90,40,-51,9,-37,10,0
0.231,7,0,-4,0,-27,52,16,-89,-7,90,39,-52,9,-34,8,0
0.264,8,0,-5,0,-28,51,20,-90,4,90,37,-52,8,-30,6,0
0.297,9,0,-5,0,-28,51,24,-90,17,90,35,-52,8,-27,4,0
0.33,10,0,-5,0,-29,51,27,-90,27,89,34,-52,7,-23,1,0
0.363,11,0,-5,0,-30,50,31,-90,35,84,34,-52,6,-19,0,0
0.396,12,0,-5,0,-30,50,35,-90,38,82,32,-52,5,-14,-2,0
0.429,13,0,-5,0,-30,49,38,-90,37,84,30,-52,5,-10,-4,0
0.462,14,0,-5,0,-30,48,41,-90,33,87,29,-52,4,-6,-6,0
0.495,15,0,-5,0,-30,47,44,-90,29,88,28,-52,3,-1,-8,0
0.528,16,0,-4,0,-30,46,45,-90,24,89,27,-52,2,2,-10,0
0.561,17,0,-3,0,-30,46,45,-90,18,88,25,-52,2,7,-11,0
0.594,18,0,-2,0,-30,44,45,-90,13,86,23,-52,2,11,-12,0
0.627,19,0,-1,0,-30,43,45,-90,9,83,21,-52,1,15,-13,0
0.66,20,0,-1,0,-30,42,45,-90,5,79,19,-51,1,19,-13,0
0.693,21,0,-1,0,-30,41,45,-90,2,73,17,-51,0,23,-13,0
0.726,22,0,-1,0,-30,39,45,-87,0,67,13,-50,-1,27,-12,0
0.759,23,0,-1,0,-30,37,45,-81,-1,61,10,-49,-1,30,-11,0
0.792,24,0,-1,0,-30,36,45,-73,-1,54,4,-48,-2,33,-10,0
0.825,25,0,-1,0,-30,33,45,-66,-1,48,0,-47,-3,36,-9,0
0.858,26,0,-1,0,-30,31,45,-58,-1,43,-2,-46,-3,38,-7,0
0.891,27,0,-1,0,-30,28,45,-52,-2,40,-4,-45,-4,40,-5,0
0.924,28,0,-1,0,-30,24,43,-46,-4,40,-6,-43,-5,41,-3,0
0.957,29,0,-2,0,-30,19,41,-42,-7,42,-8,-41,-6,42,-1,0
0.99,30,0,-2,0,-30,13,39,-41,-9,44,-10,-38,-6,43,0,0
1.023,31,0,-2,0,-30,21,39,-42,-12,46,-11,-38,-7,42,2,0
1.056,32,0,-2,0,-30,39,38,-43,-15,47,-3,-40,-8,41,4,0
1.089,33,0,-2,0,-30,58,36,-43,-17,48,0,-45,-8,40,6,0
1.122,34,0,-2,0,-30,73,35,-43,-19,49,7,-51,-9,38,7,0
1.155,35,0,-2,0,-30,85,34,-42,-21,50,12,-58,-9,36,9,0
1.188,36,0,-3,0,-30,90,32,-42,-23,51,16,-65,-10,33,11,0
1.221,37,0,-3,0,-27,90,31,-41,-25,51,22,-72,-10,30,12,0
1.254,38,0,-3,0,-19,90,29,-40,-27,51,28,-78,-10,26,13,0
1.287,39,0,-3,0,-7,90,27,-39,-28,52,32,-84,-11,23,13,0
1.32,40,0,-3,0,4,90,25,-38,-30,51,37,-89,-11,19,13,0
1.353,41,0,-3,0,17,90,24,-37,-30,51,41,-90,-11,15,13,0
1.386,42,0,-3,0,27,89,22,-36,-30,51,43,-90,-10,10,13,0
1.419,43,0,-4,0,35,84,20,-36,-30,50,44,-90,-9,6,12,0
1.452,44,0,-4,0,38,82,19,-36,-30,49,44,-90,-9,1,11,0
1.485,45,0,-4,0,37,84,17,-36,-30,48,44,-90,-8,-2,10,0
1.518,46,0,-4,0,33,87,16,-36,-30,47,45,-90,-7,-7,8,0
1.551,47,0,-4,0,29,88,15,-37,-30,46,45,-90,-5,-12,7,0
1.584,48,0,-4,0,24,89,13,-38,-30,44,45,-90,-4,-16,5,0
1.617,49,0,-4,0,18,88,12,-38,-30,43,45,-90,-3,-20,3,0
1.65,50,0,-4,0,13,86,10,-39,-30,41,45,-90,-1,-25,1,0
1.683,51,0,-5,0,9,83,9,-40,-30,39,45,-90,0,-29,0,0
1.716,52,0,-5,0,5,79,7,-40,-30,37,45,-90,2,-32,-1,0
1.749,53,0,-5,0,2,73,6,-40,-30,34,45,-90,2,-36,-3,0
1.782,54,0,-5,0,0,67,4,-40,-30,32,45,-90,3,-39,-5,0
1.815,55,0,-5,0,-1,61,2,-40,-30,29,45,-88,5,-42,-6,0
1.848,56,0,-5,0,-1,54,0,-40,-30,25,45,-80,6,-44,-7,0
1.881,57,0,-5,0,-1,48,-2,-39,-30,21,45,-71,6,-46,-8,0
1.914,58,0,-5,0,-1,43,-4,-38,-30,17,44,-63,7,-47,-9,0
1.947,59,0,-4,0,-2,40,-7,-36,-30,25,42,-57,7,-48,-10,0
1.98,60,0,-3,0,-4,40,-10,-34,-30,42,40,-55,8,-48,-10,0
2.013,61,0,-2,0,-7,42,-9,-37,-30,60,38,-56,7,-46,-10,0
2.046,62,0,-1,0,-9,44,-5,-47,-30,75,37,-57,7,-45,-9,0
2.079,63,0,-1,0,-12,46,-1,-58,-30,87,36,-58,7,-43,-8,0
2.112,64,0,-1,0,-15,47,3,-68,-30,90,35,-59,7,-42,-7,0
2.145,65,0,-1,0,-17,48,6,-77,-30,90,35,-60,7,-39,-6,0
2.178,66,0,-1,0,-19,49,9,-83,-30,90,34,-61,6,-37,-4,0
2.211,67,0,-1,0,-21,50,12,-87,-30,90,33,-62,6,-34,-2,0
2.244,68,0,-1,0,-23,51,14,-90,-29,90,32,-62,5,-30,0,0
2.277,69,0,-1,0,-25,51,17,-90,-21,90,30,-62,5,-27,1,0
2.31,70,0,-1,0,-27,51,20,-90,-12,90,28,-63,4,-23,3,0
2.343,71,0,-1,0,-28,52,23,-90,-5,90,26,-63,3,-19,5,0
2.376,72,0,-2,0,-30,51,25,-90,0,90,24,-63,3,-14,7,0
2.409,73,0,-2,0,-30,51,28,-90,1,90,23,-63,2,-10,9,0
2.442,74,0,-2,0,-30,51,31,-90,2,90,22,-63,2,-6,11,0
2.475,75,0,-2,0,-30,50,33,-90,1,90,20,-63,2,-1,13,0
2.508,76,0,-2,0,-30,49,36,-90,1,90,18,-63,1,2,14,0
2.541,77,0,-2,0,-30,48,38,-90,0,90,16,-62,0,7,15,0
2.574,78,0,-2,0,-30,47,41,-90,0,90,14,-62,0,11,16,0
2.607,79,0,-3,0,-30,46,44,-90,0,85,12,-61,-1,15,17,0
2.64,80,0,-3,0,-30,44,45,-90,0,79,10,-60,-1,19,17,0
2.673,81,0,-3,0,-30,43,45,-90,0,72,8,-60,-2,23,17,0
2.706,82,0,-3,0,-30,41,45,-90,1,65,6,-59,-3,27,17,0
2.739,83,0,-3,0,-30,39,45,-90,3,57,4,-58,-3,30,17,0
2.772,84,0,-3,0,-30,37,45,-86,6,50,2,-57,-4,33,16,0
2.805,85,0,-3,0,-30,34,45,-80,8,42,0,-55,-4,36,16,0
2.838,86,0,-4,0,-30,32,45,-75,11,35,-2,-54,-4,38,16,0
